stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.44,0,0,0,0,0,0,0,0,14.51,0,0,4.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1.36,13.5,13.65,0,0.87,0,0,0,0,0,0.84,0,0.81,0,0,4.21,0,6.34,2.21,0,0,0,0,0,1.29,3.65,2.1,0,0,0.89,0,0
 24-34,0,9.32,1.22,0,0,1.95,2.26,0,0,0,5.04,2.1,0,0,0,1.7,0,2.31,6.69,0,0,0,0,0,0,3.47,0.61,0,0,41.36,0,0
 36-46,0,12.2,0,0,0.93,4.07,0,0,0,0,0,0.58,0,0,0,8.4,0.55,8.08,13.86,0,0,0,0,0,0,0,1.32,0,0,26.04,0,0
 48-58,0,9.22,0,0,1.32,2.98,0,0,0,0,5.29,2.5,0,0.51,0,18.74,0.84,5.83,25.21,0.38,0,0,0,0,0,0,1.74,0,2.16,40.3,0,2.61
 60-70,0,8.13,0,0,3.63,7.24,0,0,0,0,3.69,10.86,0,0,1.63,47.61,5.62,7.23,25.41,0,0,0,0.97,3.51,0,0,0,0,3.64,26.17,0,0
 72-82,0,5.75,1.07,0,0.6,1.28,0,0,1.1,0,1.99,13.67,1.39,5.75,0,84.17,1.23,5.55,17.01,0,5.08,0,1.08,0,0,0,0,0,6.03,75.72,0.93,0
 84-94,0,16.95,0,0,2.38,7.1,7.56,0,0,0,5.84,22.78,4.3,0.75,0,63.26,4.99,4.68,8.3,0,0.79,0,0,0,0,0,0,0.55,0,84.54,0,0.77
 96-106,0,13.16,4.3,0,4.54,7.85,5.66,5.95,1.21,0,7.24,26.21,0,2.05,0,118.17,17.21,7.18,43.43,0.59,2.01,0,17.59,0.9,0,0,0,1.44,2.66,85.83,10.77,0
108-118,0,19.07,2.67,0.75,1.61,10.15,5.8,1.65,1.2,0,0.58,37.31,1.68,7.62,0,108.76,5.97,5.47,20.32,0,0,0,15.5,2.31,0,0,0,1.54,6.49,75.3,3.6,0
120,0,28.88,13.64,0,0,11.81,4.11,0,5.64,0,8.56,34.48,2.4,0,0,61.42,0,1.56,6.5,0,0,0,2.03,0,0,0,0,0,0,72.63,8.78,0
