stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,56.91,724.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.84,0,0,0,0,0,0,0,0,0,0
  5-6,19.65,301.58,0,0,0,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.66,0,12.56,0,0,0,4.02,0,0,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,58.23,0,0,0,34.81,0,0,27.45,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.32,0,0,0,12.35,0,0,0,0,14.35,0,0,0,0,0,0,0
 14-21,0,0,0,2.25,8.04,0.88,0,4.7,0,0,0,3.32,0,0,0,4.63,0,0,0,0,2.72,0,0,1.45,26.35,2.11,0,0.8,0,0,17.94,0,4.16,5.59,1.85,7.35,0,0,3.66,0,0
 24-34,0,0,0,0,5.49,0,0,1.4,0,0,1.05,0,0,0,0,8.16,0,0,0,2.09,5.34,3.42,0,1.34,17.29,0,2.39,1.33,0,0,15.76,0,0,0,0,8.66,0,0,8.38,0,1.69
 36-46,0,0,1.4,0,0.63,0,0,9.43,0,1.45,1.35,0,0,1.39,0,5.85,0,1.36,0,5.96,7.68,0.59,0.72,2.12,35.81,0,0,0,0,0,27.44,0,0,0.58,0,1.05,0,0,15.13,0,0
 48-58,0,0,0,0,0,0,0,17.08,0,0,1.53,0,0,0.52,0,4.41,0,0,1.84,3.22,15.06,1.55,0,0,14.72,0,2.58,0,0,0,9.56,0,0,0,0,0.96,0,1.28,2.83,0,0
 60-70,0,0,0,0,1.71,0,0,24.03,0,0,10.89,0.64,0,0,0,8.29,0.81,0,0,0,27.79,1.14,0,0,23.27,0,0,2.4,0,0,30.26,0,0,0,0,2.47,0,1.27,1.7,0,0
 72-82,0,0,0.5,0,2.54,1.51,0,11.12,0,1.7,19.81,2.23,1.11,1.78,1.97,2.16,0,0.67,0,1.89,19.41,1.31,1.11,1.31,20.45,0,2.82,1.8,0,0,16.85,0,0,0,0,4.15,0,1.82,27.39,0,0
 84-94,0,0,0,0,4.42,1.85,0,10.06,0,1.85,7.24,0,0,1,0,3.98,0.67,0,0.57,0,22.15,0.98,1.37,2.69,6.09,0,0,1.92,0,0,72.2,0,0,1.07,0,4.92,0,0.71,9.61,5.05,2.6
 96-106,0,0,0,0,7.93,0,1.05,17.5,0,0,21.46,2.93,0,0.95,0,2.72,0,0.77,0.99,0,40.08,3.38,1.88,3.59,19.02,0,0,1.3,0,4.47,64.82,0,0,0,0,7.42,0,5.76,10.86,0.65,0
108-118,0,0,0,0,9.1,0,0,6.47,2,0.59,6.85,2.98,0,0,0.64,2.39,0.95,0,2.21,0,35.14,3.05,0.74,1.51,5.56,0,1.21,3.45,0,0,42.82,0,0,0,0,0,1.81,1.37,9.88,3.3,0
120,0,0,0,0,21.71,0,0,15.63,2.27,0,46.82,1.53,0,0,0,0,0,0,0,0,41.53,5.12,0,1.09,13.01,0,9.51,0,0,4.22,39.66,0,0,0,0,0,0,0,25.89,0,0
