stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0,0
  5-6,13.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.41,0,0,0,0,0,0,0,0,0,0,0,0,0,28.26,0,1.9,0,0,1.71,4.44,2.16,3.47,0,0.94,0,0,1.78,0,1.08,0.87,0,0,0,0,0
 24-34,0,0,0.67,0.96,0,1.61,0,0,0,0.66,0,0,1.95,1.36,0,0,69.89,1.99,6.38,0,0,5.58,76.52,0.6,1.66,0.84,0,0,2.03,1.61,0,0.63,12.1,0,0,4.61,0,0
 36-46,0,0,0.63,0,0,3.27,0,0,0,0,0,0,15.73,0,0,1.17,39.54,2.02,2.49,0,0,0,72.28,0,1.02,0,0,0,0,8.02,0,0,15.7,0,0,3.4,0,0
 48-58,0,0,0.88,0,0,17.23,0,0.39,7.82,2.21,0,0,0,0,0,0,34.93,4.95,8.57,0,0,0,91.18,0,2.07,0,0,0,0.41,1.36,0,0,13.91,0,0,0,0,0
 60-70,0,0,0.57,0,0,17.13,0,0,0,3.31,0,1.57,7.55,2.41,1.16,0,89.45,2.42,11.47,0,0,1.29,69.73,0,0,0.65,0,0,3.2,2.44,0,0,6.23,0,0,4.87,0,0
 72-82,0,0,0,4.19,0,24.51,0,0,0,1.94,1.98,0,0.49,0.61,0,0,260.38,6.85,19.1,0.77,0,5.32,69.74,0,3.94,0,0,0.71,0,10.51,0,0,7,0,0,0,0.52,0
 84-94,0,0,0.67,15.43,0,6.55,0,0,0.58,0.78,0.94,0,2.65,0.68,0.55,0,842.31,23.07,17.99,1.18,0,9.03,72.04,0,0,0,0,0,1.04,43.19,0,0,0,0,0,0,0,0
 96-106,0,0,15.59,14.44,0,47.27,0.64,0.95,0,20.38,1.98,0,5.67,2.64,0,0,1790.61,1.97,45.4,0,0,1.54,221.67,0.62,0,0.85,0,0,7.82,72.24,0.74,0,0,1.08,0,13.9,6.14,12.72
108-118,0,0.95,7.23,13.42,3.48,52.55,0,0.9,1.99,8.54,2.08,0,9.67,0.86,1.37,0.74,3309.65,23.83,44.04,7.76,1.95,2.12,220.33,1.15,3,2.36,0,0,7.58,68.21,0,0,6.28,1.3,2.08,2.97,0,0
120,0,0,3.74,8.81,0,53.87,0,0,0,0,0,0,2.72,1.06,2.22,0,1997.02,6.13,41.61,0,0,1.59,205.76,0,0,1.61,0,0,0,56.71,0,0,6.72,0,0,4.28,1.45,0
