stage,endocrine.pancreas,epidermis,eye,gut,hatching.gland,mesenchyme,neural,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord
 14-21,0,0,0,0,0.87,0,0,0,0,0,4.8,0.87,2.47
 24-34,0,0,0,0,0,0,1.73,0,0,0,0,0,0.98
 36-46,0,0,0,0,0,0.99,3.63,0,0,0,0,0,1.42
 48-58,0,0,4.03,0,0,0,0,1.15,0,0,0,0,1.48
 60-70,0,0,1,0,0,0,0,0,0,0,0,0,0
 72-82,1.27,0,2.78,0,0,0,2.53,1.22,0.78,1.25,0,0,0
 84-94,3.73,0.57,10.89,0.73,0,0,5.06,0.93,0,0.69,0,0,8.99
 96-106,2.32,0.71,11.16,0,0,0,5.6,0,0,0,0,0,0
108-118,1.23,0.87,13.82,1.44,0,0,21.78,0,0,0.42,0,0,0
120,0,0,5.35,0,0,0,0,0,1.61,0,0,0,0
