stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord
  5-6,29.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.33,0,3.3,0,4.38,0,0,0,0,3.23,4.47,0,15.77,4.34,0
 10-12,0,0,0,0,0,0,0,0,0,29.68,0,0,9.29,0,0
 14-21,0,0,0,0,0.9,0,0,0,0,6.5,0,0,0,0,1.31
 24-34,0,0,0,0,0.7,0,0,0,0,0.85,0,0,0,0,0
 36-46,0,0,0,0,1.5,1.1,0,0,0,3.19,0,0,0,0,1
 48-58,0,0,0,4.03,0,0,0,0.74,0.42,0.58,0,0,0,0,1.01
 60-70,0,0,0,0,0,0,0,2.03,0,4.05,0,0,0,0,0
 72-82,0,0,0,0,3.5,0.92,0,0,0,0.65,0,0,0,0,0
 84-94,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.78,0,0,3.06,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.43,0,2.8,0,0,0
