stage,blastomeres,epidermis,eye,glial,hatching_gland,ionocyte,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vasculature
  3-4,50.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,21.56,4.82,0,0,6.37,0,0,0
 10-12,4.15,0,0,0,3.19,0,0,48.68,0,0,0,3.11,0,0,0
 14-21,0,1.21,0.81,0,0,0,0.87,18.72,1.48,0,0,1.93,0,7.9,0
 24-34,0,0,2.18,0,0,0.59,0,62.87,0,0,0.78,0,0.63,8.18,0
 36-46,0,0,5.39,0,0,0,0.69,111.51,0,1.91,0,0,0,8.31,0
 48-58,0,0,30.43,2.31,0,0,0.93,120.24,0,0,0,0,0,31.69,0
 60-70,0,0,19.76,1.42,0,0,0.73,61.96,0,0,0,0,0,13.28,0
 72-82,0,0.49,40.02,5.28,0,0,0,42.46,0,0,0,0,0,3.2,0
 84-94,0,0,19.18,1.81,0,0,0,43.35,0,0,0,0,0,5.53,0
 96-106,0,0,9.5,1.65,0,0,0.76,7.04,0,0,1.4,0,0,0.6,0
108-118,0,0,3.72,0.74,0,0,0,21.61,0,0,0,0,0,4.17,0.78
120,0,0,4.21,0,0,0,0,57.3,0,0,3.28,0,0,0,0
