stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.34,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.79,0,0,0,0,0
  7-9,6.7,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,0,0,4.3,22.33,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.71,0,0,14.37,23.22,0,0,0,0,0
 14-21,0,0,3.18,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,2.14,0,0,0,129.48,0.85,0,0,0,0
 24-34,0,0,0.66,0,1.64,0,0,0,0,0,0,0,4.26,0,0,1.44,0,12.74,0.69,0,0,260.3,0,0,0,1.49,0
 36-46,0,0,5.59,0,0.58,0,0,0,0,0,0,0,1.44,2.36,0,0.95,0,11.33,1.55,0,0,189.37,0,1.52,0,0,0
 48-58,0,0,2.95,0,0.91,0.38,1.26,1.48,1.21,0,0.99,0,5.05,0,0.44,11.56,0.45,17.93,3.44,0.39,0,160.32,0,0.66,0,0,0.44
 60-70,0,0,0.73,0,2.62,0,0.86,0,0.65,0,0,0,2.68,0,0,2.73,0,7.54,0,0,0,124.37,0,0,0,0,0
 72-82,0,0,5.35,0.59,10.68,0,0,0,1.07,0,0,0,2.87,0.74,1.06,6.2,0,17.03,0,0,0,149.33,0,0,0,0,0
 84-94,0,0,16.22,4.23,0,0,4.95,0,6.83,0.79,0,0,3.89,0,0,5.93,0,17.46,0,0,0,380.62,0,4.6,0,0,0
 96-106,0,0,34.97,0,1.1,0,1.4,1.12,0.57,2.06,0,1.16,6.96,1.75,3.77,7.79,0,2.99,1.42,0,0,221.3,0,0,0,0,0
108-118,0,0,38.35,0,0,0,4.44,0,5.21,0.92,0,0,6.96,0.51,1.48,3.45,0,8.57,0,0,0,194.07,0,0,0.55,0,0
120,0,0,24.3,0,0,0,0,0,0,1.29,0,0,10.1,3.58,0,3.63,0,2.53,0,0,0,153.11,0,0,3.04,0,0
