stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,206.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.07,148.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,11.97,4.15,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.21,0,0,0,3.3,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.27,0,0,0.85,0,0,0,0,4.11,0,0,0,0,0,0.96,4.79,1.51,0.89,0,40.04,0.9,0.85,0.9,0,2.29,0,0,0
 24-34,0,0,0.62,7.77,0,0,1.95,0,0,0,0,1.6,0,0,0,0.86,1.29,0,32.21,1.29,0,0,126.23,0.98,0,0,0.62,3.3,0,0,2.08
 36-46,0,0,0,35.18,0,0,4.28,6.69,0,0,0,0,0,0,0,0.56,1.94,0.75,27.69,0,0,0,186.06,3.36,0,0,0,0.9,0,0,0
 48-58,0,0,0,35.42,0,0,1.51,8.93,2.45,0,0,0.38,0.53,0,0,1.93,0.52,0,16.04,0,0,0,79.27,0,0,0,0,0.49,0,0,2.71
 60-70,0,0,0,52.06,1.42,0,3.43,3.2,0,0,0.95,0,0,0,0,0.59,1,0,13.08,0,0,0,62.73,0,0,0,0,0.75,0,0,0
 72-82,0,0,0,70.84,0,0,5.66,2.63,0,0,0.6,0,0,0,0,10.2,2,0,45.18,4.93,0,0,32.27,0,0,0,0,3,9.13,1.31,0
 84-94,0,0,0,122.08,0,0,1.07,9.33,0,3.05,6.52,0.97,0,0.73,0,2.21,0.57,0,7.99,0.9,0.92,0,109.71,0,0,0,0,0,15.48,0,0
 96-106,0,0,0,171.19,0,0.92,15.38,10.59,1.33,12.92,1.7,3.75,0,0,0,10.32,3.84,2.3,28.54,0,1.12,0,124.74,0,0,0,0,0,18.41,3.39,0
108-118,0,0,0,234.46,0,0.44,0,24.8,1.89,9.44,5.75,1.68,0,0,0,3.46,3.3,1,48.73,3.05,1.7,0,120.93,1.21,0,0,0,0.42,23.63,0,0
120,0,0,0,146.25,0,0,21.65,13.42,0,9.14,30.65,0,0,1.84,5.66,16.27,2.27,0,27.26,0,0,0,106.62,0,0,0,0,0,15.93,0,0
