stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.98,882.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.45,0,0,0,0,0,0,0,0,0
  5-6,67.41,637.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.33,4.21,0,3.3,0,0,9.22,0,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0,220.71,0,0,0,47.77,0,0,12.6,0,0,0,0,0,0,0,0
 10-12,0,27.52,0,41.57,0,0,35.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386.28,0,0,0,34.83,0,0,27.34,0,7.44,0,8.83,0,0,0,0
 14-21,0,0,0,12.98,34.27,62.9,14.27,0,0,0,1.3,2.74,0,0,0,0,0,0,0,0.94,6.07,0,0,12.21,147.28,0.87,2.07,0,0.97,0,0,0,7.77,0,4.12,22.15,0,0,0,0
 24-34,0,0,0,18.61,9.25,6.06,10.4,0,0,0,0.76,3.76,0,8.57,0,0,0,0,3.04,0,12.06,0.71,0,4.12,121.72,0.95,1.31,0.62,0,0,0,0,0,0,0.63,20.48,0,0,0,2.5
 36-46,0,0,0,1.19,0.66,0,3.23,0,0,0.63,1.81,2.36,0,8.94,0,0,0,0,1.07,7.71,17.02,0,0,5.91,54.8,0,0,0,0,1.94,0,0,0,0,0,13.64,0.85,0,0,4.14
 48-58,0,0,0,0,0,0,1.27,0,1.68,0,3.86,0,0,4.62,0,0,0,0,1.04,0,12.5,0,1.68,1.39,29.54,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,0,1.92
 60-70,0,0,0,0,0,0,1.44,0,0,1.93,6.32,0.62,0,0.81,0,1.42,0,0,0,0,19.11,0,0.95,3.32,11.82,0,0,0,0,28.48,0,0,0,0,0,0.74,0,4.9,1.41,0
 72-82,0,0,0.86,0,0,0,4.08,0.52,0.85,0,20.44,3.1,0,0.87,0,0,0,0,0,0,13.27,0,5.01,2.19,9.21,0,0,0,0,0.77,0,0,0,0,0,1.21,0,7.18,1.76,0
 84-94,0,0,0.8,0,2.34,0,13.64,0,0,0,10.33,1.5,0,1.95,0,0,0,0,0,0,3.09,0,5.78,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,2.24,2.3,0
 96-106,0,0,0,0,3.58,2.12,5.61,0,9.13,0,3.88,5.92,0,2.73,1.16,0,0,0,0,0,13.62,0,10.57,0.71,24.48,0,0,0.8,0,1.3,0,0,0,0,0,0,0,13.77,3.56,0
108-118,0,0,0,0,14.48,0.96,1.45,0,9.11,0,7.38,9.55,0,2.47,0.53,0,5.92,0.84,0,0.61,8.92,0,12.61,1.25,10.17,0,0,0,0,2.82,0,0,0,0,0,0,0,6.07,7.81,0
120,0,0,0,0,9.36,10.78,0,0,1.58,0,6.11,11.47,0,0,0,0,0,0,0,0,0,0,2.13,0,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0,17.84,0
