stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,22.31,116.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0,0
  5-6,26.65,315.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0
  7-9,6.52,13.53,6.23,0,0,42.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.83,6.48,0,0,34.25,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,28.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.89,0,0,0,27.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.06,2.57,3.78,0,1,0,0,1.9,0,0,0,0,0,0,0,0,2.22,0,0,2.18,57.81,4.21,0,0,1.74,0,4.21,2.11,5.68,14.61,0,0,1.09,0,0
 24-34,0,0.83,0,1.03,1.56,8.49,0,0,0,3.34,1.35,0,0.76,0,1.95,0,0,1.33,0,10.82,0,0,2.37,129.78,0,0,0.63,0,9.15,0,1.08,5.65,31.67,0,0,7.39,0,0
 36-46,0,0,0,5.75,0,31.81,0,0,0,4.4,0,0.76,0,0,0,0.79,0.62,0,16.08,5.88,1.16,1.26,2.4,70.37,0,0.81,0,0,12.51,0,0,0,24.78,0,0,0,0,0
 48-58,0,0,0,0,0,56.85,0.97,1.26,0,13.17,0,0,0,4.8,0,0.51,0,0,10.66,13.42,4.45,0.46,8.28,119.47,0.56,0,3.7,0,0.81,0,0,0,27.74,0,0,5.07,0,0
 60-70,0,0,0,0,0,73.88,2.02,0,0,6.03,0,0,0,0,0,0,1.16,0,0,15.81,0.84,10.58,10.98,76.14,0,0,0,0,5.37,0,0,0,16.18,0,0,4.71,0,0
 72-82,0,0,0,0,3.44,69.25,0,0,0,18.71,0.64,0,0,2.57,0,0,1.95,0,0.57,14.11,0,0,4.07,98.46,0,1.39,0.56,0,2.68,0,1.58,0,10.29,0,0.94,5.27,0,5.96
 84-94,0,0,0,0,6.45,17.98,0,0.57,0,13.83,2.04,0,0,2.53,0.56,0,0,0,5.68,19.54,0,0,0.63,61.68,0,0.71,1.26,0,8.52,0,0,0,5.3,0,4.46,5.11,0,2.04
 96-106,0,0,0,1.23,0.67,28.56,0,0,1.04,2.77,1.64,0,1.92,3.6,0,0.87,0,0,0.71,7.93,0,0.56,0.72,57.34,1.15,0,3.43,0,4.47,0,0,0,1.18,0,0,0.6,0.82,9.26
108-118,0,0,0,1.86,2.28,41.03,0,0,0,5.76,0,0,0,3.16,3.05,0.65,0,0,0,33.83,0,0,3.14,78.78,0,2.81,0,0,10.34,0,1.31,0,7.48,0,0,2.36,0,1.05
120,0,0,0,17,0,42.28,0,4.18,0,32.61,4.46,0,0,5.21,0,0,0,1.1,1.33,21.35,0,0,2.4,103.47,0,0,3.36,0,4.12,0,1.38,0,1.7,3.65,0,1.1,0,2.85
