stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,11.45,0,0,0,2.08,0,0,0,0,0
 24-34,0,0,0,1.24,0.86,0.69,0,0,0,0,0,0,1.8,0,0,37.48,0,0,8.56,0,0,3.27,0,0,0
 36-46,0,0,0,2.43,0,0,0.99,0,0,0,0,0,2.07,0,0,37.73,0,0,2.5,0,3.37,32.35,0,0,0
 48-58,0,0,0,4.16,0,0,4.04,0,1.05,0,0,0,2.01,0,0,51.27,0,0,0.69,0,0.6,14.3,0,0,0
 60-70,0.82,7.63,0,25.83,0,0,25.88,0,0,0,0,0,38.96,0,0,41.12,2.02,0,2.3,0,0,10.41,0,0,0
 72-82,0,0,5.8,53.14,0,0,34.53,0,0.52,0,0,0,150.16,0,2.66,79.91,0,0,0,0,0,41.25,0.66,0.71,0
 84-94,0,0,0,24.74,0.9,0,38.16,0,0,0.95,0,0,206.85,0,2.15,38.93,2.42,0,0,0,0,17.7,0,0,3.29
 96-106,0,3.96,0,32.56,0,0,34.29,0,3.37,0,3.15,0,280.84,0,3.48,70.54,0,0,2.72,0,0,98.25,6.51,8.45,6.16
108-118,0,0.7,5.83,49.18,0.48,0,31.88,0,1.77,1.94,0,0.47,450.67,6.39,0.81,47.43,0,0,0,0,0,48.29,3.58,0,0
120,0,14.68,9.17,23.83,0,0,59.46,1.55,6.82,0,0,0,727.85,0,1.82,105.32,0,5.36,1.17,0,0,87.91,0,0,0
