stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,0,254.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.34,162.96,0,0,0,0,0,0,0,0,0,0,0,0,32.96,0,0,0,7.36,0,0,0
  7-9,0,6.68,0,0,0,0,0,0,8.69,0,0,0,0,0,97.44,0,0,37.94,0,0,0,0
 10-12,0,8.12,0,0,0,16.57,0,0,0,0,0,0,0,0,91.97,11.79,0,21.58,0,0,12.99,0
 14-21,0,0,0,0.84,0,0.84,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.14,0,1.04
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05,0,0,0,0,0,0,1.69
 36-46,0,0,0,0,0,0,0,0,0,0,0.56,0,1.61,0.86,5.82,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.65,0,0.42,0,0,0,2.96,0.4,0,10.22,0,0.6,0,0,0,0,3.45
 60-70,0,0,0,0,0,11.67,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,8.06,0.76,0.73,0,0,0,0,0.7,0,2.4,0,0,0,0,0,0,1.78
 84-94,0,0,0,0,0.64,0.75,0,1.43,0,2.72,0,0,0,0,3.72,0,0,0,0.7,0,0,0
 96-106,0,0,0,0,0,6.57,0,1.58,0,0,0,0,0.64,0,2.82,0,0,0,2.1,0,0,0
108-118,0,0,0.98,0,0,5.48,0,0.45,0,0,0,0,0,0,0,0,0,0,0.47,0,0,0
120,0,0,0,0,0,0,0,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
