stage,eye,glial,heart,mesenchyme,muscle,neural,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,2.17,0,4.03,3.59
 24-34,0,0,1.94,0,0,10.78,0.83,0,1.33
 36-46,0.66,0,0,0.8,0.92,2.92,0,0,0
 48-58,0,0,0,0.49,0.43,0.69,0,0,0.59
 72-82,0,0,0,0,0,6.69,1.16,0,0
 96-106,2.05,2.15,0,0,0,0,0,0,0
120,0,3.24,0,0,0,0,0,0,0
