stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,7.21,77.81,10.72,0,54.72,0,1,0,19.1,3.16,2.22,0,0,0.81,0,0,13.38,0,47,0,0,47.51,741.3,26.11,3.08,1.95,17.61,0,53.97,55.59,2,110.33,50.21,203.83,0,0,0,7.24
 24-34,1.34,29.97,0,0,173.59,0,1.35,0,14.64,0,0,3.31,0,0,0,2.48,0.96,0,99.12,0,2.52,35.4,1400.27,2.53,14.25,9.61,0,0,19.34,0,1.55,67.51,4.36,231.66,0,17.12,0,3.71
 36-46,0,20.33,1.27,0,388.11,0,0.93,0,21.46,0.95,0,0,0,1.79,0,0.95,0,0,104.02,0,1.06,27.31,1028.09,4.57,1.56,0,0,0,17.34,0,0.72,4.54,0,207.21,0,11.09,0,0
 48-58,0,15.31,6.28,0,532.3,0.74,0.39,1.34,66.67,0,0,3.44,0,0.48,0.79,0,0,0,83.03,0,2.42,25.96,744.68,3.67,0,2.55,0,0,3.03,0,0,3.44,0,118.88,0,13.51,0,0.54
 60-70,0,17.15,1.63,0,447.72,0,0.6,9.66,37.05,0.62,0,0,3.4,0,0,0,0,9.72,112.77,1.76,2.08,34.23,667.54,7.76,1.8,6.34,0,1.22,5.46,0,1.87,0,0,87.64,0,2.61,0,8.91
 72-82,0,12.47,34.82,0,205.37,0,0,1.05,21.44,0.7,0.5,0,2.95,0,0.93,0,0.79,0,48.94,0,4.87,4.93,369.95,0,1.41,1.39,0,0,0,0,0,0,0,34.07,0,0.64,0.84,0
 84-94,0,11.08,8.27,0,116.68,9.11,1.52,0,41.04,7.19,2.81,0,0.7,2.07,0,0,6.89,0,89.17,0,2.19,5.99,252.13,3.97,1.04,2.7,0,0,1.54,0,0,0,0,25.87,0,13.66,0,0
 96-106,0,11.55,44.82,0,146.69,0,4.19,1.71,33.92,0.67,0,1.6,3.23,0,0,0,1.36,0,54.03,0,1.41,11.33,180.11,0,0.74,1.65,0,2.4,0,0,3.83,0,0,2.87,0.67,2.62,0.68,0
108-118,0,10.5,25.7,2.45,130.77,0,0,3.93,26.44,2.81,0,0,4.36,0.47,1.36,0,3.58,0,35.6,0,0.62,2.73,247.78,0,0,0,0,0,2.96,0,0.73,0.8,0,2.51,0.51,4.77,3.1,0
120,0,2.57,6.52,0,224.25,0,0,1.56,57.55,0,0,0,19.54,0,12.29,0,0,0,62.63,0,0,9.6,254.95,0,1.54,0,0,0,1.68,0,0,0,0,7.32,0,4.09,0,0
