stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,14.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.34,134.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,58.83,0,0,42.04,0,12.44,0,0,0,0,0,0,0,0
 10-12,0,52.01,7.77,0,3.43,0,0,0,0,0,0,0,0,0,0,1619.94,0,0,30.75,0,0,0,11.4,0,0,0,0,0,0
 14-21,0.89,0,0,21.58,11.01,0,2.4,0,1.79,2.44,0,0,2.34,0,3.59,4479.09,0,0,0,1.15,0,1.81,0,37.35,9.75,345.83,0,0,0
 24-34,0,0,0,5.81,14.48,0.71,11.91,0,0,0,0,17.05,15.85,0,5.12,5101.3,0,0,0,0,0,0,0.97,0,2.36,1384.7,0,6.59,1.18
 36-46,0,0,0,0,23.5,0,221.22,0,0,0,0,0,6.99,0,3.44,2957.64,0.88,0.63,0,1.01,0,0,3.05,0,0,1465.78,0,9.34,0
 48-58,0,0,0,1.84,15.14,0,554.4,0,0,0,0,5.25,3.37,0,0,789.66,0,0,0,1.46,0,0,0,0.4,0,844.8,0,0.88,0
 60-70,0,0,0,1.92,23.58,0,777.39,0,0,0,0,0,9.46,0,0,110.17,0,0,0,10.09,0,0,0,0,0,307.65,0,0,0
 72-82,0,0,0,0,31.55,0,624.22,0,0,0,0,0,1.08,8.82,0,80.88,0,1.64,0,0,0,0,0,0,0,55.76,2.98,0.82,4.49
 84-94,0,0,0,5.14,27.06,0,400.33,0,0,0,0,0,2.06,0,0,41.74,0,0,0,0,0,0,0,0,0,37.07,0,0,8
 96-106,0,0,0,0,9.54,0,294.68,0,0,0,0.87,0,1.96,0,0,46.81,0,0,0,0,0,0,0,0,0,11.01,0,0,0
108-118,0,0,0,2.23,7.99,0,389.99,0.59,0,0,0,0,0,2.25,0,25.92,0,0,0,0,0,0,0,0,0,1.76,0,0,0
120,0,0,0,0,65.03,0,609.92,0,0,0,0,0,0,0,0,53.02,0,0,0,0,0,0,0,0,0,2.31,0,0,0
