stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature
  5-6,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.81,1.72,0,0,0,0,0,0,0
 24-34,0,0,0,0.67,0,0,0,5.81,0,0,0,0,0,0,79.93,0,0,0,0,0,0,0,0
 36-46,0,0,0,8.46,1.4,0,0,51.16,0,0,0,0,0,0,108.88,0,0,0,0,0,0,5.97,0
 48-58,0,2.76,0,35.83,0,4.14,0,72.38,0,0,0,0.45,0,0,234,0,0,0,0,1.11,0,10.45,0
 60-70,0,0,0,33.95,0,0,0,69.62,0,1.52,0,0,0,4.7,313.49,6.71,0,0,0,0,1.01,56.42,0
 72-82,0,0,0,25.1,0,0,0.78,59.04,0,0,0,0.58,7.6,0,255.74,0,0,0,0,1.09,0,14.48,0.65
 84-94,0,5.08,0,30.93,0,0,0,65.93,0,0,0,5.67,0,0,159.57,0,2.81,0,0,0,0,9.01,0
 96-106,0,0,7.57,24.85,0,0,1.65,47.13,0,0,0,1.49,0,0,81.01,0,0,0,0,2.33,0,4.72,0
108-118,0,0.47,0.72,37.97,0,0,0,75.86,0.48,0,0,9.56,0,0,230.67,0,0.77,2.04,0,0,0,5.31,0
120,0,0,0,28.64,0,2.41,0,187.1,0,0,11.1,18.75,0,0,715.85,0,4.59,0,0,0,0,19.95,0
