stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,27.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.11,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.81,0,0,0,0,0,1.1,0,0,0,0.91,0,0,0,0,0,7.08,0,0,0,0,2.28,0,1.11,2.17,0,0,0
 24-34,0,1.69,3.51,0,0.91,0,0,0,2.88,0.85,0,0,0,0,0,3.99,0,1.2,33.58,0,0,0,0,0,0,0,38.68,1.19,0,0
 36-46,0,0.78,4.52,0,0.56,0,0,0,0,0,0,0,0,0,0,0.75,0,2.6,102.56,0,0,0,0,0,0,0,12.39,0,0,0
 48-58,0,0.68,0,0,7.38,0,0,0,3.52,0,0,0,0,0,0.4,4.06,0,0.75,133.25,1.03,4.54,4.77,0.9,0,0.95,0,12.54,0,0,0
 60-70,0,0.57,0,0,22.92,0,0,0,1.23,0,0.7,0,0,0,1.56,1.5,0,0,133.25,0,0,0,0,0,1.44,0,1.42,6.11,0,0
 72-82,0,2.38,2.44,0,15.85,0,0,8.49,3.92,0,0,0.53,0,0,0,5.31,0,1.7,251.83,0,0,0,0,0,10.59,0,6.6,1.68,0,0
 84-94,0,6.04,0,0,8.04,0,0,0.67,3.21,2.03,0,0,0,0,0,17.77,1.32,0,256.53,0,1.09,0,3.33,0,6.73,0,5.28,0.66,0,0
 96-106,0,0.89,1.89,7.23,31.5,0,0,0,4.05,0,0,0,0,0,0,6.78,0,6.95,252.88,0,3.21,0,0,0,15.55,0,0,5.76,0,0
108-118,0,3.41,0,0,15.42,1.6,0.43,0,4.34,0,0,5.25,0,0,0,6.65,0,1.21,239.89,0,1.13,0,0.46,0,15.9,0,5.9,8.07,1.03,1.72
120,0,20.25,1.41,0,16.41,0,0,0,8.22,0,0,3.3,0,6.54,0,30.36,0,7.52,675.6,0,2,0,16.98,0,4.61,0,11.59,0,0,0
