stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.37,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.05,0,0,4.77,0,0,0,0,2.82,0,0,0,0,0,1.03,0,0,0,0,0,0,0,38.99
 24-34,0,0,0.74,0,0,47.33,0,0,0,0,0,1.92,0,0,807.55,0,0,48.9,5.54,0,0,1.03,43.04,0,0,0,0,10.13,0,0,0,3.15,0,0,0.91,0,48.05
 36-46,0,0,0.98,0,0,36.21,0.64,0,0,2.25,0,1.67,2.1,0,2299.45,0,0,2.07,7,0,0,0,94.43,0.67,0,0,0,3.7,0,0,0,7.55,0,0,1.67,0,16.62
 48-58,0,0,8.21,0.89,0,53.61,0.51,3.56,0.41,16.32,0,0,0,0,4153.46,0,0,1.54,15.31,0,0,4.55,179.41,3.2,0,1.57,0,4.46,0,0.56,24.96,41.73,0,0,0,0,66.66
 60-70,0,0,5.51,0.6,0,153.02,1.06,5.14,2.29,10.53,0,0,0,0,8328.46,0.79,0,1.56,22.28,0,0,6.92,180.16,0,0.62,5.75,0,11.5,0,0,0,21.61,0,1.82,1.17,0,33.01
 72-82,0,0,0,3.5,0,63.17,3.15,3.7,1.46,17.43,20.63,0,0,0,8224.98,0,7.87,1.57,19.1,0,0,2.98,164.05,9.68,0.63,2.14,0,3.22,0,0,0,16.85,0,0,10.14,1.47,11.16
 84-94,0,0,0,15.09,0,75.88,0,1.36,0.67,7.79,0,0,0,0.8,12675.32,1.61,0,12.28,7.94,5.24,0,1.64,99.84,0,2.48,1.35,0,10.59,0,0,0,9.87,3.12,0,5.27,0,76.04
 96-106,2.98,12.99,0.87,17.76,5.05,114.11,7.63,0,0,16.47,23.03,0,4.29,0,13509.6,3.04,95.12,0,41.83,4.16,1.32,0.65,134.22,49.64,1.63,0,0,44.72,0,31.28,0,4.27,0,0,5.65,0,61.7
108-118,0,0,11.17,7.84,0,108.79,0,0.97,0,10.67,1.9,0,0,1.31,22545.72,0,15.95,0.43,52.44,0,0,1.3,103.93,0,0,1.28,0,19.27,0,0.78,0,3.87,0,0,1.64,0.99,143.84
120,0,0,33.47,18.22,0,52.15,0,0,0,4.83,0,0,0,0,14011.83,0,0,0,1.28,0,0,1.62,80.49,0,0,5.44,0,5.73,0,0,0,0,0,0,0,0,62.67
