stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.08,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.09,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0
 24-34,0.62,2.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.49,0,0,0.73,0,12.78,0,9.51,0,0.93,0,0
 36-46,0,5.55,0,0.61,0,0,0,0,0,0,0,0,0,0,0,3.49,0,1.11,42.74,2.5,0,0,0,18.84,0,1.56,0,2.22,0,0
 48-58,0,0.51,0,3.96,0,0,0,1.72,0,0.75,0.85,0,0,0,0,6.49,0,0.49,37.55,1.32,0,0,0,11.7,0.77,1.81,0,0,0,0
 60-70,0,0.99,0,10.08,0,0,0,3.68,0,0,0,0,0,0,0.59,10.05,0,0,60.15,0,0,0,0,7.77,1.91,7.69,0,0.72,0,2.81
 72-82,0,0,0,25.12,0,0,0,8.93,0,0,0,0,0,0.71,0,18.17,0,0,61.06,0,0,0.54,0,1.14,0,20.72,2.22,0,0,0.55
 84-94,0,0,0,30.23,0,0,1.12,4.68,0,0,0,0,0,0,0,21.68,0,0,36.76,0,0,0,0,0.57,0,0,1.26,0,0,0
 96-106,0,1.33,3.56,21.39,1.45,0,0,23.72,2.35,0,0,1.12,0,0,0,9.94,0,0,17.02,0,0.84,0,0,9.75,0,0,0,2.05,1.14,0
108-118,0,6.78,0,10.65,0,2,0,12.03,0.92,0,0,0.58,0,0,0,16.53,0,1.07,60.01,1.01,0,0,1.65,9.19,0,4.66,0.41,0.49,0,0
120,0,3.9,0,0,0,1,0,16.1,0,0,0,1.05,1.91,0,0,17.89,16.56,0,32.41,3.28,0,0,0,3.22,0,0,0,0,0,0
