stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,69.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.37,0,0,0,0,0,0
  7-9,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,38.86,6.18,0,0,11.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.15,0,0,0,4.71,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,0,0,0,0,0,0,0,0,3.39,0,0,0,6.72,0,0,0,0,0,0,1.89,3.51,0,0,0,0
 24-34,0,0,0,1.89,0,0,2.4,0,0,0,0,2.18,0,0,1.33,16.73,0,0,0,0,0,0,0,4.38,0,0,0,0
 36-46,0,0,0,73.35,0,0,4.65,0,0,0,0,0,0,0,0,20.69,0,0.6,0,0,0,0.78,0,9.72,0,0,0,0
 48-58,0,0.37,0,555.29,0,0,9.63,0,0,0,0,3.42,0,0,0.79,70.99,0,0,0,0,0,0.4,0,4.42,0,5.74,0,0
 60-70,0,3.25,0,1500.48,0,2.2,1.69,1.29,0,0,0,4.14,0,0,0,121.18,0,0.89,0,0,0,1.5,0,2.84,0,0,0,16.88
 72-82,0,1.06,1.33,1596.32,0,0,1.86,0,0,0,0,12.46,0,1.11,0,58.5,0,0.55,1.42,0,1.78,4.71,0,0.84,0,2.28,0,0
 84-94,0,3.1,0,1416.87,0.61,2.22,11.62,0.59,0,0,0,8.61,0,1.03,0.55,31.2,0.62,2.78,0,0,0,0,0,12.94,0,0,1.2,0
 96-106,0,0.93,6.14,782.66,7.62,0,2.6,0,0,0,0,2.67,5.46,1.85,7.23,10.84,0,0,0,0,0,0,0,0,1.15,1.32,0,0
108-118,0,4.32,1.13,687.75,0,0,5.28,0,1.29,0,0.66,7.57,0,0,0,27.89,0,0,0.98,0,0,0,0,0,0,1.99,0.42,0
120,0,1.27,4.46,609.18,0,0,17.56,0,0,8.53,0,0,0,0,0,32.27,1.1,0,0,0,0,0,0,0,0,0,0,0
