stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,71.78,0,0,0,0,0,0,0
 14-21,1.36,0,0.81,0.95,0,0,0,2.1,0,0,0,0,0,0,5.78,0,20.82,6.23,1.08,0,0,1.44,0,0,62.05,200.44,32.83,0,0
 24-34,0,0,0,0,1.79,0,0,0,0,1.15,0,0,0,0,3.16,0,9.98,0.96,0,0.82,0,0,0,0,0,21.06,9.65,0,1.44
 36-46,0,0,0,0,0,0,1.19,0,0,0,1.45,0,0,2.61,21.45,0,16.51,28.05,0,0,0,0,0,0,0,0,3.57,0,0
 48-58,0,0,0,0,2.49,2.85,0.99,2.33,0,0,0,0,0,0,12.16,0,8.38,30.61,0,0,0,0,0,0,0,0,5.44,0,3.79
 60-70,0,0,0,0,16.41,1.78,0,1.95,0,0,0,1.77,0,0,28.2,0,15.46,28.24,0,0,0,0,0,0,0,0,1.9,0.67,9.39
 72-82,0,0,0,0,17.09,0.75,3.03,18.71,0,0,0,10.65,0,0,14.95,4.81,19.14,65.96,0,0,0,0,1.67,0,0,0,0,0,18.23
 84-94,0,0,0,0,25.75,0.91,1.89,16.24,2.29,0,0,3.29,0.57,0,34.92,0,24.11,47.61,0,0,0,0,0,0,0,0,0,0,11.42
 96-106,0,0,3.25,0,11.36,0,7.78,30.78,0,0,0,26.89,0.76,0,18.91,0,21.99,48.7,0,0,0,0,0,0,0,0,0,0,20.2
108-118,0,0,0.98,0,25.31,0.89,0,22.73,0,0,0,33.19,1.53,0,35.17,1.21,15.32,51.97,0,0,0,0,2.78,0.79,0,0,0,0,48.51
120,0,0,0,0,8.68,0,0,50.57,13.35,0,0,63.57,1.67,0,31.3,18.76,9.03,69.89,0,0,1.02,0,0,0,0,0,0,0,56.01
