stage,blastomeres,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  5-6,21.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.23,0,0,0,0,0,0,0,0,0,158.87,3.28,27.91,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,109.97,19.61,12.25,3.07,0,0,0
 14-21,0,0,1.26,0,0,0,0,0,0,0,12.73,0,0,0,0,0,0
 24-34,0,0,74.61,0,0,0,1.44,4.95,0,0,5.92,0,0,0,1.57,0,0
 36-46,0,0,167.34,0,0,0,0,0,0,0.89,6.81,0,0,0,6.43,0,0
 48-58,0,1.29,132.16,0,0,0,0,0,0,0,7.29,0,0,0,0.56,0.46,0
 60-70,0,0,259.95,0.64,8.06,0,0,0,0,0,4.5,0,0,6,1.93,0,5.16
 72-82,0,0,401.45,0,0,0,3.3,0,0.65,0,2.92,0,0,0,0,0,0
 84-94,0,0,123.64,0.58,0,6.24,2.8,0,0,0,0.61,0,0,0,0,0,0
 96-106,0,0,37.29,0,0,0,0,0,0,0,2.04,0,0,0,0,0,0
108-118,0,0,122.82,0,4.04,0,1.48,0,0,4.49,11.17,0,0,0,0,0,0
120,0,0,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0
