stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,32.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,21.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.73,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.58,0,0,0,25.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.64,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.56,0,0,0,19.35,0,0,7.42,0,0,0,0,0,0
 14-21,0,0,2.68,0,0,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95,0,0,0,0,0,0,0,3.84,0,0,0,0,0
 24-34,0,0,2.58,0,0,60.11,0,0,1,0.73,0,0,0,0,0,0,0,2.26,0,0,0,153.58,0,1.36,0,0,0,0,0,49.55,0,0,4.31,0,0.86
 36-46,0,0,0,0,0,20.52,0,0,2.91,0,0.56,0,0,0,0,0,0,12.13,0,1.42,0,359.81,1.09,0.56,0,0,0,0,0,103.05,0,0,1.23,0,0
 48-58,0,0,1.36,0.48,0,98.04,0,0,4.64,0,0.69,0,0,0,0.4,0,1.66,12.97,0,2.69,5.54,701.85,0,0,4.42,0,0,0,0,138.66,0,0,3.06,0,5.73
 60-70,0,0,3.21,0,0,480.61,0,0,12.1,0,0,0,0,0,0,0.78,0,37.75,0,9.62,11.39,1034.55,0,1.47,0,0,6.98,1.16,0,155.81,0,1.84,3.34,0,0
 72-82,0,0,5.39,0.55,0,629.78,0,0,26.83,1.84,0,0,0,0,0,0,0,32.37,1.35,30.39,2.03,1114.39,0,0,0,0,8.57,7.77,0,90.61,3.98,3.84,0,2.03,0
 84-94,0,0,7.86,1.59,0,444.45,0.95,1.83,27.18,1.12,0,0.65,0,1.76,0.66,4,0,17.47,0,16.19,2.21,721.03,0,2.81,0,0,8.88,4.01,0,86.41,0,4.11,0,8.74,0
 96-106,0,0,2.4,7.62,0,497.59,9.15,1.12,41.74,1.36,0.66,0,1.76,0,6.68,11.02,0,33.59,0,13.1,1.38,575.1,0,0,1.51,0,29.48,8.85,0,58.82,0,6.47,3.35,19.09,0
108-118,0,0,20.69,0,2.51,486.51,0,1.71,13.31,0,0,0.82,0.42,0,2.41,10.55,0,43.31,0,14.26,0.76,743.4,0,0,1.11,0,2.78,3.7,0,40.05,0,1.8,0.56,0,0
120,0,0,1.45,9.04,0,489.93,1.11,0,33.12,0,0,0,0,0,0,11.87,0,68.03,0,58.33,9.6,1301.54,0,0,4.69,0,45.81,2.93,0,66.47,0,0,0,13.38,0
