stage,blastomeres,epidermis,eye,glial,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,18.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,52.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0
 10-12,0,0,5.13,0,0,0,0,0,0,0,0,0,0,7.27,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.03,0,0,2.21,1.8,0,0,0,0,2.91,0,0,0
 24-34,0,1.25,0.75,0,2.56,0,0,0,3.05,0,0,0,7.75,0,0,0.62,0,2.12,0.87,2.36,1.65
 36-46,0,0,2.37,3.16,0,0,0,0,0.95,0,0.67,1.12,26.98,0,0,0,0,0,0,3.89,0
 48-58,0,0,7.49,3.55,0,0,0.63,2.73,3.04,0.97,0.44,0,19.21,0,0,0.39,0,0,0,6.24,0
 60-70,0,0,5.78,0,0.76,0,0,0,1.04,0,0,0,6.45,0.57,0,0,0,0,0,1.45,0
 72-82,0,0.97,5.37,1.04,0,0,0,0.87,4.22,0,0,0.54,6.45,0,0,0,0,1.36,0,0,1.51
 84-94,0,1.41,9.17,0,0,0,0,0,3.38,0,0,1.08,5.82,0,2.07,0,0,2.43,0,0,0
 96-106,0,0.74,3.27,3.17,0,1.18,0,0,1.37,0,0,0,13.67,0,0.81,0,0,1.78,0,0,0
108-118,0,1.34,1,0.6,0,0,0,0,1,0,0,0,13.24,0,0,0,0,3.62,0,0,1.16
120,0,1.16,1.38,2.75,0,5.88,0,0,13.96,0,0,0,4.32,0,0,3.96,0,0,0,0,0
