stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.42,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.82,0,0,0,0,1.55,0,0,0.99,0,0,0,0,33.23,0,0,2.14,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0
 48-58,0,0,0.95,0,8.68,0,0,40.15,0.68,0,3.34,0,0,0,0,256.62,0,0.56,14.05,1.07,0,0,0,0,0,0,0,0.54,0,4.99,0,0,0
 60-70,0,1.19,0.76,0,17.62,1.02,9.24,133.84,11.24,4.73,1.24,0,0,3.03,0,566.77,0,2.37,70.97,24.84,0,0,0,0,6.06,0,0,0,0,94.97,0,0.79,0
 72-82,0,0,4.53,0,77.39,2.66,13.22,367.76,3.52,2.58,36.77,0,0.76,12.41,0,1155.81,0,8.33,109.59,67.08,0,0.97,0,0,5.73,0,0,0,0,270.37,1.42,9.27,3.43
 84-94,0,0,4.39,0,51.63,0,1.16,268.79,1.27,32,52.26,0,0.71,7.95,0,1274.72,1.21,18.92,89.71,12.57,0,0,0,0,3.34,1.4,0,4.06,0,317.09,1.03,30.61,5.7
 96-106,0.9,0,12.95,0,47.57,0,0,383.77,10.74,11.59,19.99,0,0,4.41,0.57,1829.46,0.71,15.87,44.42,57.01,0,0,0,1.3,0.6,0,0.6,0.99,0,554.38,0,59.85,0
108-118,0,0,2.83,1.55,33.88,0,1.16,271.87,4.74,25.08,13.27,0.75,1.19,1.18,0,1609.01,0,48.32,40.23,83.78,0.44,0,0,0,1.07,0,0,6.43,1.01,462.17,0.72,26.81,0
120,0,0,1.38,0,26.01,0,3.21,263.95,0,0,16.67,0,1.07,4.58,0,1233.63,0,101.56,19,57.37,0,0,1.5,16.83,0,0,0,0,0,559.08,0,32.42,0
