stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,53.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,72.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.71,0,0,0,0,0,0,0,0,0,0,0,76.53,0,9.27,0,4.3,0,0,0,0,0
 10-12,9.59,0,0,0,8.84,0,0,0,0,0,0,0,0,0,0,0,60.98,0,10.71,0,0,0,0,0,0,0
 14-21,0,0,6.33,0.91,66.81,0,0,7.55,0,0,0,0,1.02,0,0,0,11.38,0,0,0,0,0,1.76,11.47,0,0
 24-34,0,0,0.73,0,920.38,1.61,0,8.01,0,0,0,0,1.33,0,0,0.75,46.55,0,0,0,0,0,0.65,13.5,0.85,0
 36-46,0,0,0,0,1434.44,1.12,0.89,7.77,0,0.92,0,0,2.15,0.68,0,0,67.21,5.33,0,0,0,0,0,17.68,0,0
 48-58,0,0,0,0,167.04,0,0,7.61,0,0,0,0,5.76,0,0,0.94,83.69,1.04,0,0.99,0,0.61,0,20.29,0,0
 60-70,0,0,1.04,0,2549.69,0,1.38,0,0,0,0,0,3.82,0,0,0.74,61.23,8.88,0,4.32,0,0,0,3.73,0,0
 72-82,0,0.83,0,0,639.1,0.55,0,6.37,0,0,0,0,6.26,0,1.81,0.55,60.07,1.92,0,2.26,0,0,0,1.56,0,0
 84-94,0,0,0,0,707.37,0,0,8.47,0,0,0,0,2.61,0,0,0,36.54,0,0,0.65,0,0,0,0,7.59,0
 96-106,0,0,0,2.26,95.55,0,0,8.55,0,0,0,0,18.2,0,0,0,21.03,0,0,0.72,0,0,0,1.07,0,0
108-118,0,0,1.65,0,564.77,0,0,11.22,1.87,0,3.02,5.08,5.41,0,1.11,0.44,67.52,1.18,0,0,0,0,0,0,2.08,1.46
120,0,0,2.22,0,885.75,0,0,10.93,0,0,0,0,9.55,0,0,1.12,57.11,0,0,1.2,0,0,0,2.1,0,0
