stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,646.85,0,0,0,0,0,0,0,0,0,0,0,25.56,0,0,0,0,0
  5-6,104.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.15,0,0,0,3.78,0,0,0,74.88,0,0,5.25,0,0,0,0,0,0
 10-12,0,0,0,0,23.78,0,0,0,138.64,10.07,0,13.6,0,0,0,5.3,0,0
 14-21,0,0,0,2.61,5.96,0,0,0,23.61,0,0,0,0,0,1.21,0,0.98,0
 24-34,0,0,0.83,0,9.69,0,0,0,36.56,0,0,0,0.7,0,0,0,1.89,0
 36-46,0,0,0,0,2.81,0,0,0,20.06,0,0,0,1.16,0,0,0,1.82,0
 48-58,0,0,0,0,10.25,0.53,0.92,0,25.67,0,0,0,0,0,0,0,1.66,0
 60-70,0,0,0,0,7.47,0,0,0,44.32,0,0,0,0,0,0,0,2.34,1.05
 72-82,0,0,0,0,2.18,0.73,0,0,7.91,0,0,0,0,0,0,0,2.04,0
 84-94,0,0,0.66,0,3.6,2.11,0,0,5.12,0,0.74,0,4.29,0,0,0,0,0
 96-106,0,0,1.8,0,3.25,0.75,0,2.6,10.27,0,0,0,0.74,0.7,0,0,0,0
108-118,0,1.47,0,0,4.24,0,0,0,11.03,0,0.86,0,0,0,0,0,0,0
120,0,0,2.57,0,0,0,0,2.88,16.39,0,0,0,0,0,0,0,0,0
