stage,eye,glial,immune,mesenchyme,neural,otic
 36-46,3.53,0,0,0,2.25,0
 48-58,0,0,0,0,0.98,0
 60-70,3.6,0,0,0,0,0
 72-82,4.34,0,0.69,1.25,6.84,0
 84-94,0,1.33,0,0,10.58,1.09
 96-106,0,0,1.33,0,5.91,0
108-118,1.51,9.71,0.42,0,1.71,0
120,0,8.36,0,0,0,0
