stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,16.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0
  5-6,0,7.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.67,4.45,0,0,0,0,0,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.47,0,0,0,37.86,0,4.16,0,0,0,0,0,0,0,0,0
 10-12,0,9.56,0,37.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.56,0,0,0,4.25,0,3.81,0,0,3.24,0,0,0,0,0,0
 14-21,0,0,0,0,13.19,4.34,0,1.42,0,0,3.86,0,0,0,0,0,0,0,0,5.24,0,0,2.29,25.4,2.59,1.55,0,0,0,4.32,0.85,9.51,1.05,35.85,0,0,0,0,0
 24-34,0,0,0,2.14,24.28,1.18,0,3.4,0,1.48,2.93,0,0,0,0,0.6,0.6,0,0,15.04,0,0,7.65,55.22,1.36,1.76,5.95,0,0,1.78,0,11.34,2.02,34.28,0,0,9.91,0,0.93
 36-46,0,0,0,0.74,1.95,1.16,0,3.25,0,0.75,8.16,0,0,0.75,0,0,0,0,0,18.59,0,0,3.37,38.39,0.97,0.72,0.59,0,0,7.46,0,5.22,0,16.34,0,0,7.98,0,0
 48-58,0,0,0,0,11.24,0.53,0,10.67,1.27,0,15.76,0,0.56,0,0,0,0.42,0,0.38,20.68,0,0,2.14,18.95,0,0.5,1.85,0,0,3.51,0,0.74,0,23.96,0,0,2.75,0,0
 60-70,0,0,0,0,0,0,0,7.63,0.68,2.47,6.25,0,0,0,0,0,2.2,0,0,16.81,1.53,1.05,1.43,15.69,1.09,3.56,1.85,0,0,0,0,0,0,21.58,0,0,0,0,0
 72-82,0,0,0,0,0,1.91,0,7.87,0,1.37,16.88,1.01,0,1.32,0,0,0.79,0,0,30.27,0,2.45,0.6,26.67,0,1.06,4.9,0,2.75,0,0,0.86,0,8.12,0,0,3.09,0.54,3.53
 84-94,0,0,1.29,0,1.52,0,0,7.03,0,5.25,10.48,2.99,2.11,0,0,0,0,0,0,26.19,0,0,1.02,16.37,0.65,0.66,10.59,0,0,4.54,0,0.74,0,1.91,0,1.48,19.68,2.13,0
 96-106,0,0,0,0,3.49,0,0,7.03,0.93,3.05,16.45,1.06,0,0,0,0,3.33,0,0,41.02,0.7,0,1.52,18.25,0.75,0,4.57,0,0,3.83,0,2.22,0,9.03,2.05,0,4.53,0,1.06
108-118,0,0,0,0.77,7.24,0,2.05,10.29,1.41,1.4,7.82,6.41,0,0,1.42,0,1.55,0,0,6.96,0,0,5.22,17.96,1.93,2.11,20.45,0,0,6.25,0,1.87,0,2.43,0.41,0,8.15,0,5.43
120,0,0,1.22,0,0,0,0,20,1.06,0,0,1.42,0,0,1.18,4.19,6.46,3.28,0,13.05,0,0,0,10.61,0,0,4.51,0,0,0,0,0,0,7.07,0,6.45,10.03,0,0
