stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,7.42,0,0,0
 14-21,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,5.95,0,0,0,0,1.11,0
 24-34,0.63,0,0,0,0,0,0,0,0,0,2.35,0,0,0.76,2.31,0.7,0,0,0,0.88,1.07
 36-46,1.26,1.55,0,1.28,0,0,0,0,0,0,0.71,0,0,0.84,3.47,0,0,0,1.18,2.05,0
 48-58,0,0,0,2.12,0.7,0,0,0,0,0,0,0,0,0.59,0.55,0,0,0,0,0.64,0
 60-70,0.82,0,0,0,0,0,2.25,0,0,0,2.69,0,0,0,0,0,1.58,0,0,0,0
 72-82,0,0,0,0,0,1.67,0,0,0,0,0,0.58,0,0,2.03,0,0,0,0,0,0
 84-94,3.9,2.18,0,0,0,2.16,0.99,0,0,0,0,0,1.06,0,0,0,0,0,0,0,1.42
 96-106,3.38,0,0,0,0,2.8,0,1.18,0,0,1.11,3.31,0,0,0,0,0,0,0,0,0
108-118,10.41,0,1.35,1.5,0,1.3,0.54,0,1.32,0,4.22,0,0,0,0,0,0,0,0,0,0
120,6.69,0,0,0,0,0,15.87,0,0,1.37,0,0,0,0,0,0,0,0,0,0,0
