stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.38,0,0,0,25.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.08,0,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,0,28.28,10.16,0,0,130.34,0,0,0,3.96,7.59,0,20.6,0,0,0,0,0,0
 14-21,0,0,0.95,3.17,4.72,0,8.82,0,0,0,0,1.07,0,0,0,0,0,0,1.36,0,3.11,0,0,1.06,38.71,0,0,0,0,0,0,2.39,15.77,0,0.99,34.83,19.8,0,0,1.18,0,0
 24-34,0,0.61,0.76,12.07,0,0,66.29,0.72,3.14,0,3.33,0,0,5.1,0,2.2,0,0.78,0,1.09,8.83,0,0,7.49,215.74,0.74,8.63,9.49,0,2.91,17.04,1.59,0,0,1.72,3.05,83.67,0,0,38.08,0,6.11
 36-46,0,0,0,9.96,0,0,288.56,10,5.56,0,12.29,0,0,3.14,0,13.46,0,1.94,0,1.47,17.36,0,0,13.2,263.83,6.8,2.14,0.56,0,0.97,24.2,1.71,0,0,14.33,0,72.87,0,0,29.96,0,21.93
 48-58,0,0,0,15.09,0,0,316.81,1.14,1.58,0.57,38.55,0,0,9.43,0,14,0.38,1.05,0.39,0,29.18,1.65,3.08,11.47,239.76,6.75,0,1.32,0,0,4.98,0,0,5.81,3.1,0,67.63,0,0.64,31.01,0,6.87
 60-70,0,0,0,19.54,0,0,324.84,1.56,6.81,0,40.98,0,0,18.16,0,0,0,0,0,0,39.59,0,3.07,3.37,187.54,5.42,0,2.88,0,1.88,11.88,0.64,0,0.59,1.34,0,29.37,0,2.97,48.93,0.98,0
 72-82,0,0.68,0,8.8,3.7,0,244.16,2.07,0,1.77,64.3,0,0,4.32,0,2.07,0,1.57,1.24,0,81.48,0,18.42,3.65,292.09,3.51,0.93,12.21,0,0.71,12.12,0,0,0,0,0,28.28,0,10.67,120.37,3.15,0
 84-94,0,0,0,16.09,0,0,269.95,2.3,0,2.93,33.22,0.86,0,8.26,0,1.54,0,0,0,3.13,56.87,2.55,12.27,4.52,150.45,3.28,0,7,0,3.97,15.63,0,0,0.7,0,0,22.7,0,1.87,91.74,5.18,0
 96-106,0,0,0,6.84,1.19,0,279.79,10.3,0.96,2.93,45.62,2.4,0,2.94,0.64,0.81,6.2,3.06,3.35,1.06,84.19,4.41,18.39,1.33,117.81,2.7,4.79,13.74,0,3.28,21.18,0,0,0.6,0,0,7.12,0,3.37,139.62,1.53,1.26
108-118,0,0,0,15.72,0,2.31,227.43,2.41,5.13,1.29,67.14,0.79,0,6.84,1.94,2.65,0,1.47,1.23,1.75,69.48,8.84,29.47,6.16,182.03,0,0,20.36,0,5.9,15.77,0,0,0.83,0,0,12.18,0.66,7.05,92.03,5.11,1.44
120,0,0,0,31.28,13.42,0,307.57,11.61,4.59,1.04,121.31,7.6,0,6.56,0,0,0,12.42,7.07,0,129.02,1.1,14.33,14.7,426.07,4.47,0,39.8,0,42.7,8.41,0,1.12,1.04,0,0,40.84,0,0,152.59,21.29,0
