stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,76.51,1884.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.65,0,0,0,0,0,0,0
  5-6,57.35,478.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.83,0,0,0,0,148.72,0,0,0,0,0,0,0
  7-9,21.41,0,0,50.72,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,143.93,4.82,0,0,3.27,119.25,5.11,0,0,0,0,0,0
 10-12,0,0,0,15.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.07,26.68,0,0,30.13,88.04,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,7.37,0,0,0,0,8.88,1.38,0,0,0,0,0,0,0,0,0,6.39,1.04,0,0,1.02,0,69.77,0,4.71,0.98,14.6,0,0,0
 24-34,0,0,0,0,5.46,0,0,0,0.62,3.92,0,0,1.2,0,0,0,0,0,0,0,0,18.37,1.57,0,0,0,148.29,0,8.09,0,12.56,0,0.7,0
 36-46,0,0,0,0,3.07,1.24,1.91,3.72,4.46,2.34,0,0,1.23,0,0,0,0,1.53,0,0,0,35.92,0,0.6,0,0,296.69,0,5.5,0,11.81,0,0,0
 48-58,0,0,0,0,2.17,0,4.84,0,0,7.5,0.92,0,0,0,0,0,8.06,0,2.67,0,0,25.54,2.82,1.64,0,0,89.46,0,0.4,0,21.25,0,1.7,0
 60-70,0,0,0,0,10.58,0,13.57,0,0.96,6.5,0.83,0,7.37,0,0,0,0,1.51,0.58,0,2.6,32.8,0,0.58,0,0,118.91,0,0,0,5.02,0,0.86,0.7
 72-82,0,0,0,0,11.43,0,9.93,0,1.82,4.62,2.08,0,2.85,0,0,0,3.86,3.56,5.79,0,0.58,24.51,0,0.49,0.56,0,91.31,0,0.55,0,0.73,0,0.63,0
 84-94,0,0,0,0,44.66,0,16.53,0,3.83,0,4.76,0,2.53,0,0,0,0,10.73,6.56,1.06,0,10.74,0,0,0,0,353.23,0,2.27,0,0,0,0,0
 96-106,0,0,0,0,38.69,9.78,19.61,0,11.61,1.18,3.51,0,15.43,0,0,0.61,0,5.58,15.03,2.08,0,14.19,0,0,0,0,355.34,0,0.7,0,0.82,0.61,0,0
108-118,0,0,0,0,53.99,0,5.03,0,7.18,8.54,6.63,0,10.39,0.44,0.5,1.44,0,14.54,24.01,0,0,26.02,0,0,0,0,294.7,0,0.55,0,0,2.39,0.72,0
120,0,0,0,0,72.92,0,22.35,0,6.42,0,5,0,14.4,0,0,0,0,0,7.06,0,0,29.9,0,0,0,0,214.28,0,6.69,0,2.74,1.63,0,4.37
