stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,17.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,29.91,0,0,0,0,0,0,0,0,0
 14-21,0,1.03,5.12,0,1.81,0,0,0,0,2.51,0,0,0,0,4.64,0,32.92,17.94,0,0,2.05,0,0,19.92,383.56,1845.87,10.58,0,0,0
 24-34,0,0,5.57,1.39,7.37,383.86,0,0.68,0,0,0,1.01,0,0,7.58,0,108.81,133.96,3.34,0.74,0,0,4.39,1.19,385.99,975.07,20.57,0,3.28,2.29
 36-46,0,0,0,0,8.94,445.43,0.56,1.16,0.59,0.71,0,0,0,0,1.43,0,39.99,83.7,0.91,0,0,0,13.49,0,231.2,64.27,13.61,0,0,1.13
 48-58,0,0,0,0,15.46,168.33,0,4.22,0,0,2.2,0,0,0,5.22,0,39.67,82.54,0,0.57,0,0,1,0,128.16,0,11.14,0.4,0.9,4.66
 60-70,0,0,0,0,19.3,94.48,0,0,0,0,0,0,0,2.22,7.74,0,46.85,30.37,0,0,0,0,8.82,0,55.55,0,5.96,0,0,0
 72-82,0,0,0,0,26.04,52.78,5.41,8.28,0,0,0,0,0,0,6.8,0,41.73,25.79,0,0.61,1.13,0,0.51,0,33.99,0,0,0,1.53,0
 84-94,0,0,0,4.47,23.5,79.95,0,12.12,0,0,0.75,0,0.68,0,7.05,0,47.39,30.51,0,0,0,0.6,3.21,0,45.5,0,3.24,1.13,0,0
 96-106,0,0,0.61,7.05,15.62,81.83,1.56,7.51,0,0,0,0,0,0,9.84,1.02,53.3,60.78,0.68,4.01,0,0,5.97,0,47.63,0,0,0,2.97,8.28
108-118,0,0,0.46,8.6,42.75,62.69,0,4.62,0,0,0,0,4.69,0,9.75,3,66.38,28.12,0,0,0,1.08,1.56,0,17.45,0,0,0,0,0
120,0,0,0,0,1.08,35.96,0,0,10.46,0,0,0,0,0,10.54,0,51.14,28.58,0,0,0,0,0,1.12,27.81,0,11.18,8,0,0
