stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,66.54,211.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.56,149.33,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,0,0,0,0,0,0,42.17,14.56,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,63.39,0,0,24.7,0,0,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.95,40.5,0,0,209.84,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.35,14.98,0,0,10.49,0,0,6.11,0,0,0,0,0,0,0
 14-21,0,0,0,0.83,2.44,5.18,47.01,0,0,82,0,0,0,0,0,0,0,0,0,5.22,0,2.24,309.82,2.34,0,0,0,0,4.15,84.11,0,4.26,133.77,0,0,0,0
 24-34,0,0,0,0,15.88,0,135.13,0,1.98,81.85,0,0,0.68,0,4.79,0,0,0,0,2.1,0.81,1.12,933.22,0,16.07,1.32,0,1.79,0,48.4,1.69,3.35,158.09,0,0,0,0
 36-46,0,0,0,0,15.89,0.81,74.24,0,0,63.89,0.61,0,0,0,0,0,0,0,0,4.62,0,1.64,707.1,0.56,18,0,0,0,0,24.02,0,0,89.23,0,5.72,0,0
 48-58,0,0,0,0,16.82,0,108.35,0.85,0,84.12,0,0,0,0,0,0,1.79,1.49,0,1.48,0,0.68,357.05,0,24.75,0.52,0,0,0,12.61,0,0,69.99,0,0,0,0.85
 60-70,0,0,0,0,0,0,109.63,0,1.25,88.9,0,0,0.71,0,0,0,2,0,0,0,0,0,194.86,0,28.38,0.63,0,0.6,0,3.16,0,0,24.19,0,0,0,0
 72-82,0,0,0.62,0,1.62,0,105.9,1.27,0,84.8,0,0,0,0,0,1.13,2.82,0,0,3.58,0,0,131.83,0,59.28,8.19,0,0,0,1.43,0,0,12.68,0,0,0.85,0
 84-94,0,0,0.56,0,2.59,0,74.39,0,0,33.5,0,0,0,1.79,0,0,1.26,0,0,5.34,1.36,0,114.5,0,22.7,7.3,0,0,0,7.54,0,0,12.79,0,0,0,0
 96-106,0,0,0,0,2.36,0,73.21,0,0,118.66,0,0,0,0,0,0,14.73,0,0,5,0,0,94.96,0,63.91,13.73,0,0,0,0.6,0,0,14.4,0,0,0,0
108-118,0,0,0,1.44,2.94,0,67.85,0,0,98.24,0,0,1.87,0,0,0,1.52,4.83,0.66,4.95,0,0,128.42,0,46.8,15.12,0,0,0,7.79,0,0,11.96,0.67,0,0,0
120,0,0,0,0,5.76,0,64.32,0,0,65.64,0,0,0,0,0,0,7.33,0,0,0,0,6.69,229.42,0,42.74,11.42,0,0,0,7.59,0,0,0,0,0,0,0
