stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,66.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.23,89.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,24.17,3.21,11.81,0,0,0,33.49,0,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,57.57,0,0,0,75.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,69.62,36.09,0,0,0,103.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1853.19,0,0,0,134.8,0,0,0,0,0,0,4.54,0,0,0,0,0
 14-21,0,0,0,20.13,1.67,0,24.08,0,0.91,0,8.85,0,0,0.92,0,0,0,0,0,1.26,24.74,0,0,17.57,1836.43,0,3.54,0,7.78,0,0,9.77,5.2,1.44,3.58,760.42,0,0,0,0,9.35
 24-34,0,0,0,18.34,0,0,26.35,0,0,0,32.41,0,0,0,0,0,1.99,0,0.76,3.8,42.72,0,0,4.6,2910.98,0,4.02,0,0,0,0,0,1.45,0,7.39,805.85,0,0,1.91,0,2.64
 36-46,0,0,0,10.54,0,0,35.09,1.3,0,0.6,91.98,0,0,0,0,0,0.88,0,0,3.71,67.96,0.65,0,5.55,2819.22,0,3.09,1.66,0,0,0,0,2.68,0,0,877.88,0,0,0.65,0,1.14
 48-58,0,0,0,18.27,0,0,147.08,0,0,0,183.11,0,2.08,0,0,0,2.68,0,0,4.77,168.53,0,0.38,7.52,1951.08,0,0.62,1.63,0,0,4.53,0,1.25,0,0,629.83,0,0,1.3,0,0
 60-70,0,0,0,14.09,0,0,729.12,0,0.96,0,206.59,0,0,0,0,0,11.44,0,0,0,224.72,0,1.92,2.47,1976.22,0,1.16,2.13,0,0,5.85,0,2.41,0,0,304.91,0,0,0.65,0,0.68
 72-82,0,0,0,26.65,0,0,730.21,0,0,5.73,139.3,0,0,1.7,0.89,3.33,7.62,0,0,0.51,245.22,0,0,3.79,1706.43,0,2.94,3.18,0,1.67,2.21,0,3.94,0,0,124.56,0,0,0,1.49,6.64
 84-94,0,0,0,9.73,0,0,489.28,0,8.33,3.55,118.42,1.94,0,1.22,0.7,0,3.56,1.32,0,0,217.02,0,0.55,1.77,1072.49,0,0.7,4.16,0,0,0.71,0,0,0,0,117.28,3.73,1.39,0,1.34,0
 96-106,0,0,0,9.65,0,0.59,311.69,0,0.61,0.74,98.98,0,0,0,0,0,3.83,1.08,0,0.58,166.29,0,4.66,2.32,885.52,0,0,3.05,0,0,3.22,0,0.87,0,0,26.84,0,0,1.46,1,3.35
108-118,0,0,0,18.02,0,0.5,238.55,0,0,0,95.61,0,0,0.74,0,0,8.03,2.34,2.88,0.97,128.29,0,2.53,1.11,982.19,0,0,3.56,0,0,0.6,0,0,0,0,28.82,0,0,0,1.05,3.83
120,0,0,0,6.91,1.32,3.69,300.44,0,1.11,0,128.69,0,0,0,0,0,3.74,0,0,0,142.9,0,26.87,0,1475.08,0,11.19,1.28,0,0,0,0,0,0,0,22.13,4.55,0,3.98,0,0
