stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.95,18.01,0,0,0,0,0,1.18,1,0,1.92,0,0,0,0,3.55,0,0,2.01,52.69,1.72,0,2.6,0,4.3,2.66,0.81,5.59,9.97,0,0,0,0,0
 24-34,0.88,0,0.64,12.96,0.95,0,0.7,1.24,0,0.68,0,0,1.75,0,0,0.75,0,5.93,0,0,3.37,21.67,0,0,0,0,2.45,0.75,0,0,12.11,0,0,7.55,0,0
 36-46,0,0,0,9.08,0,0,0,1.21,1.25,9.63,0,0,1.71,0,0,0,0,39.43,0,3.87,3.24,26.71,0,0,0,0.77,0,0,0,0,2.4,0,0.85,1.79,0,0
 48-58,0,0,0.42,5.58,3.02,0,3.9,0,0,0,0,2.79,0,8.07,0,0.4,0,21.31,0,0.93,1.5,5.07,0,0,0,0,0.64,0,0,0,2.57,0,0,0,0,3.29
 60-70,0,0,0,0,0,0,0,3.05,0.68,8.99,1.42,0,3.78,0,0.61,0,0,52.62,0,3.68,3.89,8.65,0,0,0.83,0,0,0,2.37,0,2.7,0,0.61,0.76,1.92,0
 72-82,0,0,0,2.99,0,0,10.48,0,0.56,3.03,0.59,0,0,0,0,0.92,0,30.94,0,0.77,1.24,6.74,0,0.54,0.88,0,0.52,0,0,0,0,0,1.34,0,1.44,0
 84-94,0,0,0,3.72,0,0,0,0.84,1.43,3.25,0,2.11,0,0.57,0,0.61,0,44.28,2.99,0,1.97,0,0,0,0,0,0.77,0,0,0,1.18,0,0,3.34,0,0
 96-106,0,0,0,5.58,0,0,4.95,0,0,5.27,3.37,0,2.19,0.56,0,1.05,0,21.72,0,0,2.11,17.3,0,0.81,0,0,1.4,0,0,0,0,0,3.95,0,0.86,2.21
108-118,0,0,0,4.72,0,0,2.98,6,0,7.63,6.1,0,0,1.62,0,2.43,1.81,44.77,0.41,10.41,1.95,6.97,0,3.97,0,1.98,6.51,1.21,0,0,0,1.68,2.34,2.19,2.18,5.93
120,0,0,0,5.08,0,6.04,0,0,9.22,5.79,4.01,0,0,4.46,0,0,0,58.7,0,0,0,26.4,0,0,1.86,4.22,0,4.73,0,0,0,1.27,3.38,0,2.31,0
