stage,epidermis,eye,glial,lateral.line,muscle,neural,otic
 24-34,0,0,0,0.66,0,0,0.65
 36-46,0,0,0,4.36,0,0,2.27
 48-58,0,0,0,1.53,0,0,0
 60-70,0,0,0,3.6,0,6.33,2.53
 72-82,0,0,0,27.13,0.73,0,3.06
 84-94,0,0,0,11.23,0,0,2.23
 96-106,0,0,0,11.28,0,0,10.58
108-118,0,1.51,1.75,11.41,0,3.79,0
120,1.34,0,0,43.38,0,5.49,0
