stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.7,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2.15,0,0,1.58,2.42,0,0,0,0,2.33,0.81,4.28,0,0,0,0,0
 24-34,0,1.61,0.66,0,0,0.67,0,0,0,0.71,0,0,6.67,0,0,1.78,0.76,0,0,0,0,0,0,3.08,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.59,0,0.78,0,0,7.66,0.56,0,0.97,2.28,0,0,0,0,0,0,0,0,0,0.63,0,0
 48-58,0,0,0,1.85,0,2.19,0,0,1.18,0.42,0,0,5.42,0,0,1.69,1.36,0,0,0,0,0,0,0.97,0,0,0.38,0,0
 60-70,0,0,0,4.77,0,6.45,0,0,1.57,3.54,0,0,11.61,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,2.23,0,0,2.82,0,0,5.23,0,0,17.82,0,0,1.99,0,0,0,1.77,0,0,0,5.11,0,1.18,0.5,0,0
 84-94,0,0.66,0,2.42,0,1.38,0,0.74,1.81,10.62,0,0,23.16,0.78,2.23,0,0,0,0,0,2.81,0,0,0,0,0,10.94,0,0
 96-106,0,0,0,0,0,0,0,0,0,10.84,0,0,13.05,0,0,1.69,5.76,1.05,0,3.74,5.23,0,0,0,0,0,6.31,0.81,0
108-118,0,2.81,0,0,0.54,3.35,0,0,0,10.21,0,0,13.77,0,0,0,0,0,0,1.58,6.97,0,0,0,0.84,0,0,0,1.19
120,0,13.38,0,0,0,5.31,0,0,0,24.1,2.21,1.74,16.1,0,0,0,12.52,0,0,0,3.9,0,0,6.42,0,0,8.67,0,0
