stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0
  5-6,6.55,136.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.65,0,0,0
  7-9,0,0,33.78,0,0,6.99,0,0,8.28,0,0,0,0,0,64.88,0,4.4,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.6,0,0,0,0,0,0
 14-21,0,0,0,3.04,0,0.9,0,0,0,0,0,0,0,0,0,0,0,4.11,1.25,0.94,0
 24-34,0,0,0,2.77,0,1.56,0,0,0,0,0,0,0,0.61,14.76,1.16,0,7.14,0,0,0
 36-46,0,0,0,10.38,0,0,0,0,0,0,5.33,0,0,0,0,0,0,25.33,0,0,0
 48-58,0,0,0,1.2,0,5.42,0,0,0,0,0,0,0,0,0,0,0,8.61,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,18.54,0,0,0
 72-82,0,0,0,1.16,0,0,0,0.67,0,0,0,0,2.05,0,3.56,1.13,0,12.58,0,0,1.92
 84-94,0,0,0,3.55,0,0,0,2.75,0,0,0,0,5.57,0,0,4.06,0,20.07,0,0,0
 96-106,0,0,0,5.01,7.97,0,0,0,0,0.89,1.19,0,0,0,3.13,0,0,23.65,0,0,0.91
108-118,0,0,0,13.54,0,0,2.6,0.47,0,1.02,0.55,0.6,3.15,0,0.95,0,0,10.92,0,0,0.5
120,0,0,0,18.1,0,0,0,10.45,0,0,0,0,0,0,9.01,0,0,22.77,0,0,0
