stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord
  3-4,0,350.05,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0
  5-6,42.82,170.84,0,0,0,0,0,0,0,0,162.22,0,19.13,0,0,0
  7-9,14.6,17.33,0,0,11.52,0,8.16,0,0,0,116.43,15.36,100.28,0,0,0
 10-12,0,5.4,9.02,0,6.07,0,7.87,0,0,0,68.92,4.14,115.64,0,4.43,0
 14-21,0,0,0,0,0.88,0,0,0,0,0,7.45,21.32,11.06,0,7.39,1.87
 24-34,0,0,0,0.62,0,0,0,0,0.8,0,4.66,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.89,0.56,0,0,0,0,0,0
 60-70,0,0,0,0,0,19.31,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
