stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0.93,12.86,106.49,39.5,51.12,0,0,0,22.08,4.96,0,2.11,0,3.17,0,0,4.95,0,60.82,0,44.43,644.55,12.87,3.22,7.9,8.41,0,8.15,92.34,5.58,4.35,124.07,235.52,0,0,4.86,0,0
 24-34,0,3.63,28.16,1.24,56.2,0,3.67,3.49,11.59,4.28,0,3.3,0,4.19,0,3.1,0,2.67,70.2,0.89,44.27,801.41,4.87,12.26,4.29,0,0,13.24,0,4.27,2.02,12.57,153.21,0,0,36.75,0,1.3
 36-46,0,0,23.03,0,92.23,9.12,5.13,0.62,33.43,1.36,0,1.6,0,4.72,0,3.34,0,0.61,62,2.77,10.83,564.33,8.81,8.53,4.75,0,0,12.29,0,0.62,7.87,0,131.8,0,1.04,30.43,0,2.57
 48-58,0,0,9.61,0,73.73,2.81,1.15,1.37,34.39,0,6.75,2.53,0,4.94,7.66,2.84,0,0.64,43.1,3.94,4.95,388.42,0.97,4.3,2.88,0,0,0.4,0,0.43,2.89,0,64.46,0,0,6.3,0,0.55
 60-70,0,0,14.39,0,25.28,1.57,0.63,3.34,9.43,0.84,7.62,0.59,9.51,0,0.67,2.7,1.2,0,33.99,0,3.71,172.01,3.34,1.19,0,0,3.93,3.48,0,0.58,2.16,0,44.95,0,0,8.66,0,0
 72-82,0,0,0.57,0.59,35.34,0,2.21,0,5.48,0,0.65,0,0.81,3.86,0,0,0,0,8.28,1.07,2.27,94.57,2.78,0,2.84,0,0,0,0,0.63,4.49,0,5.66,0.62,0,3.84,0,0.55
 84-94,0,1,3.6,0,10.4,0,2.3,0,11.32,0.93,0.71,0,0,0,0,0,0,0.56,8.49,0,0,19.88,0.86,5.16,3.73,0,0,0,0,0,0,0,14.48,0,0,0,2.03,0
 96-106,0,0,0,0,2.22,0,1.74,0,0.57,0,0,0,0.57,0,0,0,0,0,1.11,0,0,14.12,0,0,0,0,0,1.26,0,0,0,0,2.6,0,0,0,0,0.89
108-118,0,0,3.57,0,6.85,0,1.93,0,0,0.86,0,0,0,0,0,0,0,0,10.7,0,0.64,13.29,0,0,0,0,0,0,0,0.87,0,0,0,0,0,10.7,0,0
120,0,0,8.8,12.69,9.29,0,1.84,0,12.58,0,0,0,0,0,0,0,0,0,1.59,0,0,105.39,1.17,0,0,0,0,0,0,0,0,0,0,0,0,4.69,0,0
