stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1.11,4.21,16.79,0,3.2,0,0,0,2.62,0,0,0,0,0,0,0,0,0,3,0,0,0.82,245.9,0.84,0.86,0,4.54,0,0,1.81,7.84,2.24,0.84,1.95,221.14,0,0,0,0,0
 24-34,9.9,8.77,0.66,0,29.8,0,0,0,12.81,0,0,0.8,0,0,0,0,0,8.48,20.51,0,0,16.42,2572.35,1.43,105.14,11.91,0,0,9.25,0,0,9.74,0,2.45,1610.82,0,0,5.15,0,0
 36-46,0.94,4.64,0,0,103.83,0,0,1.39,22.32,0,0,1.49,1.06,0,0,0,0,0,24.15,0,0,7.59,5249.68,0,109.01,10.2,0,0,21.19,0,0,0.63,0,0,2887.15,0,0,2.97,0,3.23
 48-58,0.92,18.57,0,0,399.04,0.46,6.72,0.47,95.15,0.76,0,0.82,5.96,0,0.87,0.64,2.1,13.02,70.87,0.41,2.95,12,7145.08,10.6,58.85,3.71,0,0,15.83,0,0,0,0,0,2549.08,0,0,3.97,0,18.64
 60-70,11.87,29.08,0.7,0,909.14,0,1.31,0,106.62,0,0,0,4.85,0,1.16,0,2.19,0,83.29,2.49,7.49,3.67,9013.49,0,52.74,8.03,0,0,11.19,0,0,3.47,0,0,2800.56,0,0,1.5,0,11.65
 72-82,6.61,46.51,4.16,0,1453.09,2.33,1.17,0.8,131.58,0.51,0.65,1.5,15.3,0.75,0,2.78,1.2,0,71.48,2.6,8.5,5.15,9289.94,0.56,59.83,4.36,0,1.31,4.35,0,0,0.73,0,0,2205.23,6.27,0.66,3.16,2.38,20.86
 84-94,12.62,40.4,10.28,0,1122.3,1.27,6.93,8.2,112.62,5.91,0,1.31,5.53,2.1,9.62,0,1.44,0,84.55,0,3.14,5,6655.51,0,53.16,22.52,0,0,8.72,0,0,3.22,1.3,0,1419.76,1.97,4.66,0,1.45,10.8
 96-106,17.05,45.75,23.21,1.23,1335.76,0,2.99,6.48,143.04,4.13,0,1.39,3.83,1.68,3.05,0,9.78,0,69.52,0.71,2.34,5.34,6573.31,0,72.25,11.44,0,4.63,12.74,0,0,0,0.76,0,755.12,8.53,5.22,0,4.62,19.44
108-118,3.47,28.98,6.84,0.78,1361.74,4.16,0.52,1.03,258.32,1.06,0,0,20.72,3.06,5.15,2.44,1.52,0,70.15,0,2.46,15.8,6337.23,0,79.47,15.29,0,2.53,7.42,0,0,0,0,0,599.26,4.21,6.42,10.85,0.57,1.68
120,25.37,48.14,5.01,0,1881.76,6.87,0,0,714.78,4.38,0,2.77,48.43,0,0,0,7.07,0,84.94,0,9.54,10.55,13487.57,0,74.43,30.08,0,0,16.4,0,0,0,0,0,1334.53,0,0,5.39,0,0
