stage,blastomeres,eye,fast.muscle,glial,heart,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,108.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.99,9.37,0,5.33,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,4.47,0,2.61,0,0,0,0.93,0,0,0,0,0
 24-34,0,0.73,0,0,0,0,0,0,1.24,5.59,0,0,0,0,0,0.69,0,0,0
 36-46,0,0,0,0,0,0,0,1.04,0,8.82,0,0,0,0,0,0.67,0,0,0
 48-58,0,0,0.68,0,0,0,0,0.72,0.52,5.09,0,0,0,0,0,0,0,0,0
 60-70,0,1.73,2.88,0,0.58,0,1.55,14.62,0,5.33,0,1.29,0,0,0,0,0,0,1.82
 72-82,0,0,0,1.96,0,0,0,4.81,0,8.1,0,0,0,0,0,0,0,1.24,0
 84-94,0,0.73,0,0,0.97,0,0,9.43,0,6.84,0,0,0,0,0,0,4.83,0,0
 96-106,0,1.75,0,0,0,0,0,0.77,2.02,0,0,0,0,0,0,0,0,1.1,0
108-118,0,4.15,0.84,1.54,0,0.79,0,12.89,0.54,17.01,0,0,0,0,0.43,0,2.1,0,0
120,0,0,0,0,0,0,0,10.33,1.25,0,0,0,0,0,1.52,0,1.15,0,0
