stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,lateral.line,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord
  3-4,31.07,574.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,54.14,1002.4,0,0,0,0,0,0,0,0,0,27.78,0,9.09,16.72,0,0,0,0
  7-9,31.36,40.8,53.82,0,36.63,0,0,0,34.2,0,0,462.41,23.13,176.89,0,0,0,0,0
 10-12,0,22.15,8.93,0,18.28,0,0,0,11.54,0,0,246.15,10.25,32.76,0,5.47,0,4.44,0
 14-21,0,0,0,1.82,0,0,0,0,0,0,0,17.61,0.83,0,0,0,2.17,0,0.87
 24-34,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.5,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.75,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.89,0,0,0.63,0,0,0,0.95,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.56,0,0,0,0,1.16,1.72,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.79,0,0,0,0,1.96,0,0,0,0,0,0,0
120,0,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,0,0
