stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,paraxial.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,43.91,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,22.82,6.54,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,13.45,0,0,0,0,0
 14-21,0,1.11,0,1.42,0,0,0,0.91,4.03,0.92,1.03,0.99,0,0
 24-34,0,0,0,0,0,3.76,0,0.64,3.67,0,0,1.02,0,0
 36-46,0,0,0,0,0,0,0,0,2.4,0,0,0.72,1.68,0
 48-58,0,0,0,0,0.5,0,0.89,0,0.86,0,0,1.77,0.81,0
 60-70,0,0,0,0,0.7,0,4.22,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0.51
 84-94,0,0,0,0,1.01,0,0,0,1.35,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.73,0,5.76,0,0,0,1.3,0
108-118,0,0.52,0.56,0,7.66,0,1.19,0.46,3.08,0,0,0,0.53,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.54,0
