stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,44.19,0,0,0,0,0,0,0,0,0,0
  5-6,18.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.21,0,0,0,0,16.86,0,5.96,9.22,0
 10-12,0,5.81,0,0,0,0,0,0,15.64,5.77,0
 14-21,0,0,9.6,0,0,0.86,0,0.83,4.73,0,1.87
 24-34,0,1.2,0.97,0,0.61,0,0,0.74,11.26,0,1.57
 36-46,0,0,0,0,0,1.09,0,1.99,24.14,0,1.81
 48-58,0,0,0,0,2.04,2.54,0,0.41,6.89,0,1.19
 60-70,0,0,0,0,1,0.86,0,0.65,0.76,0,0
 72-82,0,0,0,0,0,0,0,1.65,0,0,0
 84-94,0,0,0,0,1.63,1.81,0,1.08,0,0,0
 96-106,0,0,0,1.65,0,2.67,0,0,2.66,0,0
108-118,0,0,0,0,1.28,0,0,0,0,0,0
