stage,blastomeres,eye,fin.epithelia,glial,mesenchyme,neural,olfactory,paraxial.mesoderm,periderm,spinal.cord,vasculature
  5-6,14.75,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.61,0,6.84,0,0,0
 10-12,0,14.45,0,0,0,5.32,0,0,0,0,0
 14-21,0,0,0,0,0,9.53,0,0,0.94,2.39,0
 24-34,0,1.43,0,0,0,34.25,3.29,0,0,8.51,0
 36-46,0,17.93,0,0.73,0,6.83,0,0,0,10.32,0
 48-58,0,1.28,1.4,0,0,3.74,0,0,0,1.92,0
 60-70,0,3.22,0,0,0,0.79,1.98,0,0,2.59,0
 72-82,0,0,0,0,1.87,1.39,0,0,0,0,6.37
 84-94,0,0,0,0,6.99,1.27,0,0,0,0,0
 96-106,0,0,0,0,0,0,0.61,0,0,0,0
120,0,0,0,0,0,5.12,0,0,0,0,0
