stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,28.69,328.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0
  5-6,7.05,633.94,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,36.12,0,0,0,0,17.02,0,0,0,0,0,0
  7-9,3.97,17.62,3.3,0,31.84,0,0,0,0,0,3.29,0,0,0,0,0,0,192.65,3.67,0,0,24.52,0,0,0,0,0,0,0
 10-12,0,0,4.98,0,0,0,0,0,0,0,4.67,0,0,0,0,0,0,178.08,3.27,0,0,66.76,0,0,8.21,0,0,0,0
 14-21,0,0,0.94,0,1.94,0,0,0,0,0,0,0,0,4.85,0,0,0,24.48,0,0,0,0,0,0.91,0,1.33,0.92,0,0
 24-34,0,0,0,1.34,6.28,0,0.62,0,0,0,0,0,0.77,3.42,0,0,1.77,33.27,0,2.56,0,0,1.06,0,0,0,14.59,0,0
 36-46,0,0,0,0.57,3.08,0,0,0,0,0,0,0,0,3.51,0,0,0,17.24,0,0,0,0,0.56,0,0,0,1.25,0,0
 48-58,0,0,0,1.48,17.38,0.57,1.69,0,4.33,0,0,0,0,6.11,0,0.54,1.73,81.79,0,1.56,0.44,0,7.55,0,0,0,7.69,0.5,0
 60-70,0,0,0,0,6.94,0,0,0,0.65,0,0,5.87,0,2.58,0,0,5.95,10.84,0,1.78,0,0,8.37,0,0,0,3.48,0,0
 72-82,0,0,0,0,6.93,0,0,0.87,2.46,0,0,0,0,6.88,0,0,0,25.32,0,0,0,0,0,0,0,0,3.81,1.09,0
 84-94,0,0,0,0,8.16,0,0,0,10.55,0,0,0,0,0,0,0,0,12.57,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.79,5.37,0,0,0,6.18,0,0,0,0,5.95,0,0.57,0,11.32,0,0,1.82,0,0.61,0,0,0,0,1.31,5.68
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16,1.15,0,0,2.06,0,0.6,0,0,0,0,0,0,0,0,0
120,0,0,0,1.14,4.21,0,0,0,0,1.14,0,0,0,3.96,0,0,0,14.98,0,0,0,0,0,0,0,0,0,0,0
