stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,74.76,874.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.57,0,0,0,0,0,0,0,0,0,0
  5-6,76.65,1786.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,0,0,15.17,0,22.79,0,0,0,0,0,0,0,0,0,0
  7-9,25.97,29.82,48.42,0,0,101.05,0,0,0,0,25.61,0,0,0,0,0,0,0,0,0,0,994.06,31.57,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.79,22.06,0,0,97.28,0,0,0,0,11.88,0,0,0,0,0,0,0,0,0,0,611.38,17.96,0,0,114.29,0,0,0,46.82,0,0,4.47,0,0,0,0,0
 14-21,0,0,2.14,13.81,6.1,5.15,0,0,4.26,0,0,0,0,0,0,0,0,2.7,26.45,0,7.29,178.64,1.99,0,2.46,2.68,0,0.95,14.66,8.48,0,12.63,49.94,0,0,3.71,0,0
 24-34,0,0,2,3.72,0,12.85,0,0.92,3.85,0,0,1.85,0,1.9,0,0,0,0,11.15,0,10.36,264.64,0,5.64,1.48,0,0,5.06,0,0,0,2.89,42.86,0,0,3.02,0,1.32
 36-46,0,0,0,0.63,3.14,27.85,0.74,0,10.04,1.58,0,0,0,0,0,0.95,0,0,20.7,0,7.12,247.96,1.33,3.99,1.43,0,0,4.84,3.29,0,0,0,49.32,0,0,2.2,0,0
 48-58,0,0,0,1.94,0,37.38,0,0.41,16.46,2.67,0,0.67,0.39,0,0,0.42,0,0,29.57,1.37,1.21,173.37,0.45,2.15,0.46,0,0,6.46,0,0,0,0,34.7,0,0,5.2,0,0
 60-70,0,0,0,3.73,0,37.38,5.19,0,15.87,0,0,0,0,0,0,0.63,0,0,17.32,0,0,123.91,0,0.63,0,0,0,5.27,0,0,0,0,15.34,0,0,0,0,0
 72-82,0,0,0,0,0.65,44.93,0,0,8.99,0,0,1.6,0,0,0,1.07,0,0,22.97,0,3.37,113.57,0,1.91,0.55,0,0,4.07,0,1.58,0,0,17.14,0.56,0.91,2.29,1.12,0
 84-94,0,0,0,5.78,0,53.49,0,3.23,11.56,1.57,0,0,0.8,3.08,0,0,0,0,26.43,0.68,1.87,74.96,0.99,1.16,0.84,0,0,7.2,0,0,0,0,16.02,1.67,2.86,0.84,0,0
 96-106,0,0,0,5.54,0,61.31,0,2.3,22.87,7.87,0,0.78,1.41,0.74,1.05,0,0,0,17.01,1.24,2.03,57.07,0,1.9,2.36,0,0,8.35,0,0,0,0,16.9,0.62,0,2.31,0,0
108-118,0,0,0,7,2.11,23.19,0,0,12.12,1.52,0,0,1.86,0.81,2.06,0,0.5,0,23.56,0,1.81,76.88,0,1.86,1.25,0,0,5.56,0,0.64,0.53,0,0.65,0,0,2.52,0,0.84
120,0,0,0,5.57,1.01,31.74,4.2,0,25.29,0,0,0,0,2.58,0,0,0,0,20.46,0,4.38,143.76,0,3.29,5.12,0,6.87,4.16,0,0,0,0,4.81,0,0,2.07,10.35,0
