stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,0,0,0,5.85,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,24.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.4,0,0,66.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.78,0,0,0,0,0.66,0,0,0,0,0,0
 36-46,0,0,0,0,0,184.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.94,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,677.6,0,5.35,0,3.25,0,0,0,0,0,0,0,0,1.09,0,0,0.79,32.92,0,1.04,0,0,0.56,0,2.64,0,0,0,0
 60-70,0,0,0.97,0,0,3400.61,0,0,0,1.38,0,0,0,1.29,18.25,0,0,0,2.73,0,0,0,31.7,0,0,0,0,0,0,0.63,0,0.72,0,0
 72-82,0,0,9.57,5.42,0,4388.02,0.55,0,0,7.23,0.49,0,0,0,0.74,0,1.2,7.34,21.33,0.57,2.43,1.29,75.77,0,0,5.66,0,0.72,0,4.49,0,0,0,0
 84-94,0,0,13.86,1.65,0,5323.43,0.76,18.92,6.84,10.98,0,0.91,0,2.74,0,0,0,0,10.25,0,1.03,2.45,51.97,0.62,0,0,0,0,0,7.38,2.89,0,0.82,0
 96-106,0,0.99,11.73,10.6,1.07,3631.01,4.7,0,3.06,14.14,1.11,0,0,1.67,0,2.12,0.82,0,1.74,0,0,0.67,80.07,0,0,0,0,0,0.9,3.71,0,1.38,0.68,5.85
108-118,0,0,0.5,1.96,0.72,3245.19,0,0,0,10.53,0.52,0,1.42,0,0,0,2.34,0,23.25,0,1.9,0,71.73,0,0,6.07,0,4.95,0,3.47,0,1.59,0,0
120,0,0,27.04,1.01,0,3345.67,0,3.99,1.98,27.42,0,0,0,0,0,0,0,0,8.43,0,0,12.44,60.11,1.25,0,3.63,0,22.98,0,8.06,0,0,0,0
