stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,0,9.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0
  5-6,0,18.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.41,0,0,0,4.59,0,0,0,0,0,0,0
 14-21,0,0,0,4.05,0,0,2.36,0,0,0,0,0,0.8,0,0,0,0,0,2.4,26.28,0,0,0,0,0,1.95,3.3,9.49,0,0,0
 24-34,0,0,0,1.39,0,0,7.17,0.85,0,0.74,0,0,0,0,0,0.74,0,0,0,63.9,0,0,0,0,0,0,0,12.35,0,0,4.62
 36-46,0,0,0,3.61,0,0,13.65,0,0,0.63,0,0,0,0,0,0,0,0,0.57,96,1.06,1.4,0,0,2.46,0,0,16.76,0,0,4.05
 48-58,0,0,0,5.33,0,0,4.53,0,0,0.47,0,0,0,1.39,0,4.08,0,0,0,81.82,0.46,0,0,0,2.53,0,0,5.17,0,0,5.61
 60-70,0,0,0,16.57,0.57,0,42.02,0,0,3.2,0,0,0,0,1.34,11.85,0,0,0,85.96,0,0,0,0,1.23,0,0,11.81,0,0,1.73
 72-82,0,0,0,6.31,5.17,0,35.8,0,0,3.98,0,0,0,0,0,17.55,1.14,0,0.72,41.85,0,0,0.75,0,0.49,0,0,4.89,0,0,5.74
 84-94,0,0,0,6.15,0,0,13.54,0,0,2.67,0,0,0,0,0,9.61,0,0.66,1.87,35.99,1.63,0.83,5.54,0,1.65,0,0,4.13,0,0,2.61
 96-106,0,0,0,1.8,0,0,53.61,0,0,2.96,0.69,0.56,1.37,0,0,7.98,0,0,0,34.36,0,0,0,0,0,0,0,0.99,0.81,0,0
108-118,0,0,0,11.4,0,0.5,29.92,0.88,2.49,7.64,0.67,1.74,0,0,0,8.41,0,0,2.1,17.76,4.82,0,0.5,0,2.6,0,0,7.71,0,0.53,9.23
120,1.12,0,0,16.35,0,0,28.86,0,0,39.45,0,1.75,0,0,0,30.79,0,0,0,54.37,2.96,0,0,0,6.09,0,0,0,2.31,0,6.5
