stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,48.21,1316.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.69,0,0,0,0,0,0
  5-6,85.67,1134.34,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,33.1,0,0,0,0,0,0
  7-9,30.07,8.6,33.68,0,0,0,112.39,0,0,0,0,0,41.99,0,0,0,0,0,0,0,0,0,0,951.24,34.24,0,0,308.89,0,0,0,0,0,0,0
 10-12,0,19.48,28.77,0,0,0,64.16,0,0,0,0,0,15.1,0,0,0,0,0,0,0,0,0,0,748.38,3.72,0,0,165.7,4.33,0,53.76,0,0,0,0
 14-21,0,0,0.93,40.82,5.56,0,18.49,0,0,0,7.44,2.08,0,0,0,0,0,0,0,0,19.46,0,9.73,273.59,2.79,0,14.21,4.63,2.77,24.63,3.27,15.66,51.91,0,0
 24-34,0,0,0.67,5.35,3.55,0,66.6,0,0.67,0.74,7.6,0,0,0,2.35,0,0.85,0.78,0.69,0.65,35.27,0.81,6.3,479.31,1.07,2.32,4.55,0,8.18,0,0,1.92,102.42,8.81,5.51
 36-46,0,0,0,2.06,6.85,0,169.71,0,0,0,4.53,0,0,0,0,0,0,0,0,6.3,13.02,5.63,1.83,385.42,0,0.62,2.98,0,1.15,0,0,0,48.57,2.22,3.49
 48-58,0,0,0,6.39,8.18,0,169.81,0.55,0,0,22.26,0.64,0,0,0,0,0.97,0,0,0,31.29,0.66,1.89,167.37,0,0,0.37,0,0.38,0,0,0,17.74,1.36,0
 60-70,0,0,0,2,4.03,0,133.92,0,0,0,18.07,0,0,0.92,0,0,0,0,0,0,31.85,0.63,2.19,137.83,0,0,0,0,0,0,0,0,3.03,0,0
 72-82,0,0,0,4.41,0.69,0,41.11,0,0,0,19.87,4.18,0,2.13,3.97,0,0,0,0,0,15.13,0,3.13,33.26,0,0,0,0,0,0,0,0,1.49,3.27,0
 84-94,0,0,0,5.24,2.02,0,26.04,0,0,1.42,0,3.76,0,0,0,1.08,0,0,0,0,14.91,0,8.94,47.06,0,0,0,0,0,0,0,0,0,1.92,0
 96-106,0,0,0,0,4.56,1.76,18.97,0,0,0,0.75,1.28,0,0,2.03,0,0.95,0,0,0,2.64,1.82,0,19.25,0,0,0,0,1.65,0,0,0,0,0.62,0
108-118,0,0,0,0.74,0,0.64,22.63,0,0,0,9.06,1.97,0,0,0.89,0,0,0.6,0,0,9.65,0,0,33.83,0,0.54,0,0,0,0,0,0,0,0,0
120,0,0,0,1.7,16.82,0,97.25,0,0,1.04,31.02,5.56,0,0,9.74,1.1,0,0,0,0,11.18,0,3.1,69.12,0,0,2.08,0,0,0,0,0,0,0,0
