stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,22.98,2.18,0,0,0,0,0,0,1.32,0,0,0,0,0,0,23.36,0,1.23,0,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,13.19,7.09,0,0,2.54,0,0,0,0,0,0,5.65,0,0,0,16.58,0,0,0,0,0,39.14,0,0,0,0,0,0,0,2.05,0,0,1.63,0,0
 36-46,55.94,0,0,0,0,0,0,0,0,0,0,0.61,0,0,0,37.05,0,2.01,0,0,0,4.26,0,0.93,0,0,0,0,0,1.12,0,0,0.81,0,0
 48-58,45.98,0,0,0,1.74,0,0,0,0,0,0,8.51,0,0,0,0.41,0,299.81,0,0,0,11.5,0,0,0,0,4.48,0,0,4.05,0,0,0,0,0
 60-70,0,9.94,0,0,25.3,0,0,0,0.94,0,0,16.38,3.83,8.93,0,2.47,0,7356.95,0,0,2.54,69.75,0,0,0,0,2.47,0,0,1.16,0,0,2.54,0,338.64
 72-82,0,8.94,28.72,0,152,0,39,20.64,19.06,12.05,1.04,16.02,0.63,3.21,0,6,0,19636.71,0.79,9.33,5.63,303.1,0,3.61,0,0,40.5,0,0,20.2,877.28,1.08,10.05,6.56,7.36
 84-94,0.7,23.92,7.83,0,1047.3,0,0.67,6.8,31.89,0.71,0,27.07,1.76,0.65,0,4,0,15899.49,27.34,1.49,1.87,1696.25,0,0,7,1.59,15.77,0,0,17.99,0,2.02,8.45,0,15.42
 96-106,18.32,489.03,254.86,7.56,2304.67,1.65,862.94,16.63,139.2,7.88,0.89,16.47,5.26,9.14,5.7,35.43,0.69,70898.26,6.43,8.2,37.02,2199.34,1.39,154.91,11.21,4.36,136.91,50.31,7.61,44.09,1.67,2.59,33.11,10.38,25.44
108-118,19.87,49.04,25.37,4.88,433.45,0.46,8.35,12.54,110.89,8.14,2.73,21.23,6.65,3.51,1.39,25.99,11.96,66892.94,8.9,2.52,24.49,857.66,1.48,2.52,8.89,13.51,61.87,4.78,0.56,17.76,10.62,1.67,100.81,19.75,17.99
120,0,78.24,49.71,17.36,472.19,0,17.55,1.49,136.27,16.07,8.9,58.24,1.72,13.85,2.85,3052.42,0,96837.08,7.84,8.9,81.86,1512.07,1.39,7.53,11.77,0,40.77,0,0,3851.12,0,14.98,35.76,5.66,11.46
