stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,124.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.56,69.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.38,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.89,0,0,0,0,0,0,10.82,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.53,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,23.82,0.87,0,0.98,0,0,19.18,0,0,0,0,0,0,0,0
 24-34,0,0,0.84,0,0,2.2,0,0,0,0,0,0,0,0,0,1.45,0,0,0,0,0,0,0,0,0,6.81,0,0,1.55,0,0,3.74,0,0,3.3,0,0,0.64,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,1.66,0,0,0,14.05,0,1.21,0,0,0,0,0,0,1.21,0,0,0.66,0,0
 48-58,0,0,0,0,0.37,0,0,5.18,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,12.45,0,0.88,0,0,0,0,0,0,0,0,0,0.48,0,0
 60-70,0,0,0,0,0,5.69,0,22.5,0,0,0,1.82,0,0,0,1.25,0,0,0,0,0,4.06,0,0,0,17.75,0,0,0,0,0,0,0,0,2.99,0,0,0.7,0,0
 72-82,0,0,0,0,3.62,19.72,0,51.94,0,0,0,7.34,0.75,0,0,2.38,0.5,0,0,0,0,5.36,0,0,0,38.67,0,3.11,0.96,0,0,0,0,0,0.99,0,0,0,0,2.23
 84-94,0,0,5.29,0,2.33,18.39,0,87.88,0,2.93,0,21.99,0.56,1.46,0,14.09,0,0,0,0,0,15.7,1.42,1.32,0.66,44.78,0,0,4.2,0,0,8.04,0,0,1.33,6.48,0,1.16,0,0.7
 96-106,0,0,4.33,0,31.72,34.69,0.71,395.82,1.98,1.19,0,105.1,8.49,0,1.36,19.91,2.64,1.25,5.05,15.12,8.72,97.54,0,0,3.54,103.29,1.61,2.79,1.36,0,0,39.45,0,0,8.19,15.4,0.78,14.97,7.75,18.37
108-118,0,0,7.2,0.99,128.62,51.01,24.38,841.51,2.11,17.65,1.27,140.12,50.48,0,2.9,26.63,9.07,28.61,15.22,18.04,5.51,187.52,14.27,2.51,16.31,301.17,1.65,5.05,18.55,0,1.8,180.46,2.39,1.69,11.42,47.4,0.69,26.18,1.96,52.84
120,0,0,12.4,0,234.78,67.79,9.37,1122.06,13.37,41.15,14.12,494.65,64.51,0,17.04,58.55,0,28.64,13.89,28.58,1.61,380.79,11.54,8.68,53,872.37,36.42,16.96,22.35,0,0,252.68,7.87,3.76,55.21,13.2,0,51.64,29.3,22.6
