stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.21,0,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,0,0,34.75,0,0,4.91,0,0,0,0,0,0,0,0
 14-21,0,1.21,2.61,0,1.85,0,0,0,0,0,0,0,0,1.93,0,0,0,13.57,0,0,0,0,0,1.27,1.4,0,0,0,0
 24-34,0,8.81,0.69,0,2.34,0,0,0.92,0,0,0,0.6,0.7,0.69,0,0,0.8,38.32,0,0,0,0,0,0,0.61,10.07,0,0,0
 36-46,0,0,0,0,5.52,0,0,0,1.06,0,0,0,0,2.08,0,0,0.94,24.39,0,0,0,0,0,0,0,9.43,0,0,0
 48-58,0,0,0,0,5.47,0,0,0,1.04,0,0.47,0,0,1.68,0,0,0.38,17.08,0,0,0,0,0,0,0,5.98,0,0,0
 60-70,0,0,0,0,6.26,0,0,0,4.39,0,0,0,0,16.38,0,0,0,38.8,0,0,0,0,0,0,0,2.34,1,0,0
 72-82,0,1.32,5.75,0,0.84,0,0,0,0.86,0,0,0,0,7.6,6.51,0,0,30.89,1.22,0,0,0,0,0,0,3.48,0,1.47,0
 84-94,0,0,1.26,0,3.81,0,1.88,0,9.06,0,0,0,0,10.23,0,0.81,0.77,12.46,0,0,0,2.02,0,0,0,4.06,0,0.63,4.07
 96-106,0,0,0,0,40.03,1.95,0,0,9.26,0,0,0,0,1.02,0,0,0,19.95,0,0,0,0,0.57,0,0,0,0,5.6,0
108-118,0,0.99,0.99,0.6,3.56,0,0,1.81,9.38,0,0,0,0,16.5,0,0,0.97,9.81,0,0,0,0,0,0,0,2.53,0,1.16,0
120,0,1.96,0,0,1.85,0,0,1.66,24.67,0,0,0,0,11.9,0,0,0,5.5,0,4.58,0,0,0,0,0,0,0,0,0
