stage,blastomeres,endoderm,eye,glial,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,44.9,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.84,4.16,4.17,0,0,14.77,0,0,12.2,0,0,0
 10-12,0,7.1,0,0,0,23.69,0,0,0,0,0,0
 14-21,0,0,0,0,1.06,1.15,0,0,0,0,0,0
 24-34,0,0,0,0,0,8.91,0,0,0,0,0,0
 36-46,0,0,0,0,0,5.93,0.7,0,0,0,1.62,0
 48-58,0,0,1.95,0.96,0,13.87,0,0,0,0,0.6,0
 60-70,0,0,2.95,2.71,0,1.35,0,1.26,0,0,0,0
 72-82,0,0,0,0,0,2.43,0,0,0,0,0,0
 84-94,0,0,0,3.9,0,0,0,0,0,0.82,0,0
 96-106,0,0,0,0,0,5.71,0,0,0,0,0,1.97
108-118,0,0,5.98,0,0,2.57,0,0,0,0,0,0
120,0,0,0,0,0,20.29,0,0,0,0,0,0
