stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.04,0,0,0,0,0
  5-6,0,28.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663.97,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.32,0,0,0,0,0,30.86,0,0,0,0,0
 10-12,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59,0,0,0,13.66,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,3.7,0,0,0,0
 24-34,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0,290.83,0,0,0,0,0,0,66.04,0,0,0,0
 36-46,0,0,0,6.79,0,25.17,0,0,0,0.98,0,0,0,0,0,0,0,0,1.02,0,0,929.89,0,1.09,1.46,0,0,7.97,106.73,0,0,0,0
 48-58,0,0,0,9.69,0,345.35,0,0,0,13.92,0,0,0,0,0,0,0,0,5.65,0.55,11.75,1843.4,0,0,0,0,0,1.64,160.65,0,2,0,7.91
 60-70,0,0,0,8.02,1.48,1938.64,0.62,0,0,13.91,0.63,0,4.74,0,8.1,0,0,0,16.23,0,1.36,3262.47,0,0,0,0,0,3.5,205.82,0,0.84,0,0
 72-82,0,0,0,19.6,1.86,2929.26,2.21,9.08,1.95,59.83,0.56,0,1.16,0,0,0.9,3.11,0,17.31,0,5.21,3565.7,0,0.54,7.05,0,1.4,7.1,167.71,0.67,3.97,1.33,1.94
 84-94,0,0,0,22.3,0.87,2158.9,3.35,0,0.67,57.45,0,0,0.67,1.56,8.94,0.69,0,2.97,24.36,0.76,12.44,2349.02,1.16,0,5.46,0,0,3.96,100.86,0,0,0.57,10.8
 96-106,0,0,0,9.61,6.31,2356.55,0,0,1.02,57.68,0.92,1.02,2.57,0,0.77,1.2,9.42,0,29.53,1.14,1.8,2147.35,0,0,1.16,0,0,5.09,66.86,0,4.77,0,0
108-118,0,0,0,17.62,3.05,1818.12,1.13,0.56,0,52.24,0,0,1.5,0,0,0,2.23,1.5,24.41,4.08,1.39,2161.52,0.85,0,1.28,0,0,3.03,44.66,1.1,9.17,2.47,1.32
120,2.82,0,0,35.6,2.02,1350.54,0,0,0,101,0,0,3.53,0,3.86,0,0,1.79,35.74,0,4.64,3942.97,0,8.04,2,0,0,3.23,81.82,0,33.83,0,0
