stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,489.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.37,450.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.77,0,0,5.46,0,0,0,5.56,0,0,0,0,15.11,0,0,0,0,0,0,0,0,0,0,0,201.76,12.21,0,0,47.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,78.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310.34,0,0,0,55.08,0,0,0,0,5.9,0,14.55,0,0,0,0,0,0
 14-21,0,0,1.09,88.28,2163.26,18.37,0,11.7,9.09,0,2.97,53.54,0,0,0,6.94,0,0,0,0,11.86,15.07,0,3.1,215.97,6.2,0,1.07,2.75,0,1,3.89,4.01,9.97,0,6.91,44.77,0,0,10.58,0,0
 24-34,0,0,3.5,51.06,3601.57,0.91,0,18.82,177.97,0,9.4,20.42,0.84,0,1.63,1.21,0,2.76,15.26,0,52.21,36.83,0,14.27,274.43,43.13,5.21,0.66,0,0,7.49,0,0,31.66,1.55,2.48,70.27,0,0,23.52,0,0
 36-46,8.46,0,0,4.57,2346.53,0,0,16.28,399.33,1.45,9.52,11.69,0,2.9,4.78,29.61,0,3.91,19.98,0.7,59.35,22.47,2.4,3.68,155.72,40.27,6.16,0.74,0,0.97,19.86,0,0,34.93,0,0,40.01,0,0.85,17.71,0,0
 48-58,0,0,0,2.14,2152.03,0,0,53.26,532.24,5.99,14.36,21.86,0,0.73,8.9,0.4,0,4.2,7.48,0.43,65.95,9.17,9.47,6.29,167.25,73.7,7.6,8.27,0,0,8.74,0,0,9.19,0,0,29.5,0,1.05,5.43,0,10.89
 60-70,3.16,0,4.25,2.79,1802.92,0,0,45.6,490.45,26.33,3.98,61.24,0,0.66,14.08,0,9.62,9.52,15.49,2.79,54.28,13.26,13.75,3.71,123.86,73.97,5.9,12.4,0,2.4,16.66,0,0,14.82,0,0,16.96,3.41,0,0.84,0,0
 72-82,0,0,9.73,3.31,1603.89,6.61,0,47.91,437.75,26.82,14.85,61.21,0.62,1.91,14.19,4.73,0,16.98,4.79,0,89.51,14.44,11.47,9.03,119.37,42.69,16.44,26.22,0,0,7.85,0,0,21.89,0,0,15.22,0.71,6.01,2.88,1.46,7.75
 84-94,6.78,0,8.6,3.32,3156.59,10.09,2.88,81.61,785.31,30.97,10.84,199.46,0,3.8,32.19,19.57,1.23,25.59,10.48,0,74.47,25.37,21.28,12.76,81.58,104.26,15.42,30.18,0,0,12.33,1.4,0,25.11,0.73,0,23.25,11.65,4.22,8.29,5.65,0
 96-106,0,0,21.01,4.42,2817.26,16.45,5.89,96.88,668.29,41.57,24.47,154.43,0,7.64,24.66,19.35,0.67,35.33,12.83,0,106.69,31.42,12.64,5.85,205.41,74.17,30.8,45.1,0,5.94,9.49,0.76,0,7.62,0,0,13.84,6.87,0,5.58,2.46,0
108-118,0.66,0,3.71,10.45,3067.67,0,5.91,88.3,898.14,54.76,15.64,193.84,0,2.16,34.78,34.61,0,30.72,27.61,2.58,134.33,19.75,13,6.55,87.09,110.47,17.47,47.05,0,0,25.67,0,0,16.44,0,0,18.39,16.9,3.33,4.48,3.49,2.03
120,0,0,3.01,3.32,2006.41,2.57,1.61,84.85,573.3,25.74,28.69,136.84,0,0,48.57,9.31,3.57,50.67,5.59,0,151.42,22.51,26.31,0,164.71,211.35,12.22,59.55,0,0,6.92,0,0,12.42,0,0,2.39,6.67,1.51,24.16,20.46,0
