stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature
  3-4,13.67,67.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.99,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.92,0,9.22,0,0,0,0,5.1,0,0
 24-34,0,0,0,0,0,0,0,1.04,1.79,0.89,34.66,0,0,0,0,2.88,0,1.69
 36-46,0,0,0,0.81,9.91,0.84,0,0,2.42,0.73,37.49,0,0,0,0,0.66,0,9.62
 48-58,0,0,0,0,15.62,0,0,0,0.38,0,16.85,0,0,0,0,2,0,0.49
 60-70,0,0,0,0,10.09,0,0,0,0,0,25.13,0,0,0,0,0,0,2.08
 72-82,0,0,4.93,0,3.44,0,2.33,0,2.43,0,6.69,0,1.4,0,0,0,0.5,4.38
 84-94,0,0,2.58,0,4.06,0,2.75,0,0.73,2.44,6.14,1.11,0,0,0,1.77,0,4.44
 96-106,0,0,0.6,4.26,5.55,0,0.99,0,0,0,10.64,0,0,0,0,0,0,0
108-118,0,0,4.17,0,1.74,0,2.61,0,0,1.24,21.21,0,2.26,0,0,0,0,2.45
120,0,0,4.01,0,5.83,0,2.66,0,8.75,1.03,56.83,1.17,0,0,0,0,6.92,0
