stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,vasculature,xanthophores
  5-6,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,57.35,0,0,0,0,0,0,0
 10-12,0,0,0,0,9.12,0,0,0,0,0,0,0,33.92,0,0,17.11,0,0,0,0
 14-21,0,0,1.12,1.03,0,0,0,0,0,0,0,0,8.84,0,0,0,0,2.64,0,0
 24-34,0,0.9,2.84,0.89,0,0,0,0,0,0,1.6,0.93,57.27,0,0,0,0,9.25,2.05,0.63
 36-46,0,0,0,0,1.11,0,0,0,0,0,0,0,82.39,1.1,0,0,0,14.02,0,0
 48-58,0,0,0,0,5.78,0,0.88,0.49,0,7.88,0.49,0.54,144.04,0,0,0,0,40.62,1.07,0
 60-70,0,0,0,0,4.07,0,0,0.78,0,0,2.37,0,248.98,0,0,0,0,44.06,0.84,0
 72-82,0,0,0,0,7.4,0,0.79,0.65,0,0,0,0,251.33,0,1.35,0,0,23.32,0,0
 84-94,0,0,0,0,17.8,0,0.78,0.68,1.94,3.19,1.65,0,187.71,6.33,0,0,0,11.24,0,0
 96-106,0,0,6.31,0,21.18,1,0,3.12,0,0,2.47,1.37,218.49,0,0,0,0.81,14.38,0,0
108-118,0,0,4.19,0,10.09,0,0,5.15,0,0,0,0,147.59,2.11,0,0,0,6.97,0,0
120,0,0,0,0,5.99,0,0,0,0,0,3.88,0,332.01,0,0,0,0,10.83,0,0
