stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69,9.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,2.88,0,0,0,0
 24-34,0,0,0,3.03,0,0.77,0,0.74,0,0,0,0,0,0,0,1.68,1.85,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.67,0,0.57,0,0,0,0,0,0,0,0,0,2.13,0,1.19,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.89,0,0,0,0,0,0,0,1.73
 60-70,0,0,0,0,0,0,0,0,1.25,0,0,0,0,2.56,0,4.6,0,0,0,0,0,0,0,0.94,0,0
 72-82,0,0,0.56,0,0,1.28,0,0,0,11.1,0,0.76,0,1.57,0,18.33,0,0,0,0,0,0,0,4.26,3.13,0
 84-94,0,0,0,0.78,0,0,0.67,0,0,10.1,0,0.95,0,2.04,1.05,26.28,0,2.74,0,0,1.3,0,1.56,0,0,0
 96-106,0,1.76,0,0,0,2.44,0.67,0,0,17.13,1,0.83,1.26,0,0,27.48,0,1.96,0,0.61,0,0,0.72,11.59,0,0
108-118,0,0,0,0,5.57,7.1,0,1.14,0,26.68,0.86,2.91,0,0.79,0,20.81,0,1.44,0,0.8,0,0,1.5,2.51,0,0
120,0,0,0,3.9,0,2.43,0,0,0,14.56,0,0,0,0,0,57.01,0,15.92,0,5.17,0,0,3.9,0,0,0
