stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,heart,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.1,9.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,11.52,0,1.12,0.81,1.83,1.56,0,0,0
 24-34,0,0,0,1.99,0,0,0,0,0,0,0,0,0.62,0.97,0.91,3.7,1.26,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.52,0.63,4.98,0,0,0,0,0.94,0,0,0
 48-58,0,0,0,0,0,1.28,0,2.54,0,0.69,0,1.04,0,1.86,0,3.66,1.64,0,0,0,2.97,0,0,0
 60-70,0,0,0,0,0,8.08,0,0,0.88,0,0,0,0,8.81,0,8.29,0,0,0,0,0,3.16,0,0.65
 72-82,0,0,0,0,2.83,0,0,0,0,0,0,0,0,0.98,1.96,2.01,0,0,0,0,0,0,0,0
 84-94,0,0,1.44,0,0,0,0,0,1.31,0,0.59,0,0,1,0.83,3.64,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.31,0,0,0,0,0,0.7,0,0,1.12,0,3.96,0,0,0,0,0,0,0,0
108-118,0,0,0,0.49,0,0,1.15,0,0,0,0,0,0,0,2.57,0.95,0,0,0,0,0,0,0,0.95
120,0,0,0,0,0,0,0,0,1.59,0,0,0,0,0,0,1.5,1.86,0,0,0,0,0,2.54,4.69
