stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.17,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89,0,0,0,58.48,2.32,0,0,0,0,0
 24-34,0,0,1.3,0,0,1.07,7.92,0.72,0,0,0,0,0,2.76,0,0,0,0.92,1.26,0,0,4.88,19.62,0,0,0,0,0,0,0,217.85,0.71,0,0,6.04,0,0
 36-46,0,0,2.28,1.3,0,7.71,80.05,0,0,5.26,0,0,0,0,0,0,0,1.33,0.85,0,0,9.78,28.8,0,0,1.08,0,0,1.69,0,190.73,15.36,0,0,1.34,0,0
 48-58,0,0,0,0.39,0,35.23,139.16,0.44,0,4.61,0,0,0,0.39,0,0.97,0,5.91,24.42,0,0.63,11.15,116.65,0,0,0,0,0,4.7,0,202.23,16.25,0,0,3.61,0,1.13
 60-70,0,0.82,3.03,0.74,0,59.28,125.52,1.18,0,11.27,0,0,4.72,0,3.07,0,0,0,10.2,0,27.89,7.82,64.88,0,1.15,0,0,0,6.17,0,90.58,9.46,0,3748.38,7.09,1.25,0
 72-82,0,0.69,13.83,6.51,0,262.56,100.4,0.78,1.33,17.78,0.72,1.08,3.7,0,4.09,0,5.51,0,34.06,0,2.2,14.16,283.23,4.45,1.38,0.81,0,0.71,9.81,0,39.14,24.39,6.87,4608.61,4.9,3.88,45.2
 84-94,0,0,40.48,19.19,0,200.77,157.77,0.56,4,9.91,0,0,2.14,2.32,0,0,1.41,0,51.15,5.24,1.61,4.22,205.99,0,0,1.75,0,0,26.13,2.16,74.57,16.42,0.62,6046.89,4.71,2.56,13.61
 96-106,0,0,26.41,34.62,0,953.06,181.78,5.5,4.05,38.99,5.37,2.1,5.05,4.63,1.89,0.6,19.21,0,49.67,5.14,156.72,21.9,184.35,0,3.05,0.73,0,0,44.33,1.96,50.88,10.98,0,7795.91,7.74,6.16,20.98
108-118,0,5.13,27.94,30.4,7.48,137.02,72.15,73.82,6.8,23.22,0.94,0.69,3.98,4.44,0.69,1.68,7.5,3.24,38.62,0,6.08,64.05,266.8,1.29,0.45,0.51,0,0,34.11,0,26.74,12.48,2.64,9700.48,8.32,3.91,12.71
120,0,0,4.85,13.32,4.06,65.46,45.16,0,0,24.65,0,2.09,6.41,1.28,0,0,0,0,93.2,0,561.44,28,212.62,1.87,0,0,0,18.42,0,0,22.74,2.14,0,3889.72,0,2.85,21.95
