stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.63,0,0,0,0,0,0,0,31.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,13.31,0,0,4.55,0,0,3.88,0,0,0,0,0,0,0,36.35,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.97,0,0,0,1.08,0,0,0,0,0,0,0,0.97,10.05,1.71,0,0,0,0.82,8.46,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.59,0,0,0,0,0,0,7.02,0,70,0,1.03,1.08,1.86,0,18.32,0,0,0.61,0,0
 36-46,0,0,0,0,7.21,0,0.64,0,0.65,0,0,0,2.33,0.7,0,161.19,0,0,0,0,0,28.43,0,0,0.58,0,0
 48-58,0,0,0,0,16.96,0,6.13,0,0,0.95,0,0,0,2.81,0,281.72,0,2.59,0,1.9,0,25.14,0,0,0,0,0.42
 60-70,0,0,5.91,0,58.24,0,0.83,0,0,0,0,0,0,13.16,0,489.76,0,3.79,0,0,0,34.77,0,0,0,0,0
 72-82,0,0,2.32,0,75.25,0.89,8.75,0,0,0.67,0,0,0,4.26,0,618.22,1.67,1.14,0,0,0,29.63,0,0,1.3,0,0
 84-94,0,0,2.01,0,71.3,0,6.94,0,0,0,2.13,0,0,6.65,0,385.72,0,0,0,0,0,45.36,0,0,0,1.01,0
 96-106,0,0,0,6.91,116.05,1.02,2.81,0,0,0,0,9.42,0,0,0,344.84,0,1.75,0,2.87,0,5.96,0,0.87,2.13,0,0
108-118,0,0,2.59,0,57.75,0,7.4,0,0,0,0,0,0,7.53,0.92,519.74,0,1.82,0,0,0,21.46,1.7,1.11,1.69,1.03,0.84
120,0,0,1.14,0,83.4,0,3.15,0,0,3.3,0,0,0,15.15,0,916.79,0,1.11,0,5.82,0,35.83,0,0,5.02,0,0
